,Unnamed: 0,lastName,firstName,state,party,chamber,gender,birthday,raceEthnicity,pre2018incumbent,citizenPopulation,medianHouseholdIncome,TweetCongress
41,41,Boyle,Brendan,PA,-1,-0.5,-0.5,15990,1,1,665528.0,0.0,CongBoyle
42,42,Brady,Kevin,TX,1,-0.5,-0.5,23962,1,1,719700.0,64861.0,RepKevinBrady
43,43,Braun,Mike,IN,1,0.5,-0.5,24345,1,-1,6385820.0,52182.0,SenatorBraun
44,44,Brindisi,Anthony,NY,-1,-0.5,-0.5,15336,1,-1,691840.0,52967.0,RepBrindisi
45,45,Brooks,Susan,IN,1,-0.5,0.5,21999,1,1,727335.0,67461.0,SusanWBrooks
46,46,Brooks,Mo,AL,1,-0.5,-0.5,24309,1,1,686530.0,51690.0,RepMoBrooks
47,47,Brown,Anthony,MD,-1,-0.5,-0.5,21546,-0.5,1,657310.0,79350.0,SenSherrodBrown
48,48,Brown,Sherrod,OH,-1,0.5,-0.5,24845,1,1,11348025.0,52407.0,RepAnthonyBrown
49,49,Brownley,Julia,CA,-1,-0.5,0.5,24918,1,1,625225.0,76914.0,JuliaBrownley26
50,50,Buchanan,Vern,FL,1,-0.5,-0.5,25396,1,1,707850.0,55447.0,VernBuchanan
51,51,Buck,Ken,CO,1,-0.5,-0.5,22555,1,1,725970.0,67878.0,RepKenBuck
52,52,Bucshon,Larry,IN,1,-0.5,-0.5,21355,1,1,713350.0,50261.0,RepLarryBucshon
53,53,Budd,Ted,NC,1,-0.5,-0.5,17925,1,1,716695.0,47440.0,RepTedBudd
54,54,Burchett,Tim,TN,1,-0.5,-0.5,20538,1,0.33,708115.0,50701.0,RepTimBurchett
55,55,Burgess,Michael,TX,1,-0.5,-0.5,25532,1,1,739340.0,87272.0,MichaelCBurgess
56,56,Burr,Richard,NC,1,0.5,-0.5,23729,1,-0.33,9445115.0,50320.0,SenatorBurr
57,57,Bustos,Cheri,IL,-1,-0.5,0.5,21581,1,1,677305.0,45360.0,RepCheri
58,58,Butterfield,George,NC,-1,-0.5,-0.5,26868,-0.5,1,707355.0,40895.0,GKButterfield
59,59,Byrne,Bradley,AL,1,-0.5,-0.5,24016,1,1,688770.0,47083.0,RepByrne
60,60,Calvert,Ken,CA,1,-0.5,-0.5,24634,1,1,693480.0,76504.0,KenCalvert
61,61,Cantwell,Maria,WA,-1,0.5,0.5,22681,1,1,6564110.0,66174.0,SenatorCantwell
62,62,Capito,Shelley,WV,1,0.5,0.5,24463,1,-0.33,1831855.0,44061.0,SenCapito
63,63,Carbajal,Salud,CA,-1,-0.5,-0.5,20453,0,1,644190.0,68929.0,RepCarbajal
64,64,Cardenas,Tony,CA,-1,-0.5,-0.5,21051,0,1,545910.0,50655.0,RepCardenas
65,65,Cardin,Benjamin,MD,-1,0.5,-0.5,28168,1,1,5517145.0,78916.0,SenatorCardin
66,66,Carper,Thomas,DE,-1,0.5,-0.5,26962,1,1,890715.0,63036.0,SenatorCarper
67,67,Carson,Andr'e,IN,-1,-0.5,-0.5,16834,-0.5,1,696285.0,41429.0,RepAndreCarson
68,68,Carter,John,TX,1,-0.5,-0.5,28866,1,1,739530.0,69228.0,RepBuddyCarter
69,69,Carter,Buddy,GA,1,-0.5,-0.5,23083,1,1,701405.0,50931.0,JudgeCarter
70,70,Cartwright,Matthew,PA,-1,-0.5,-0.5,21750,1,1,676877.0,0.0,RepCartwright
71,71,Case,Ed,HI,-1,-0.5,-0.5,24888,1,0.33,639210.0,78180.0,RepEdCase
72,72,Casey,Robert,PA,-1,0.5,-0.5,22133,1,1,12390675.0,56951.0,SenBobCasey
73,73,Cassidy,Bill,LA,1,0.5,-0.5,23061,1,-0.33,4535710.0,46710.0,SenBillCassidy
74,74,Casten,Sean,IL,-1,-0.5,-0.5,17892,1,-1,682045.0,97387.0,RepCasten
75,75,Castor,Kathy,FL,-1,-0.5,0.5,19813,1,1,668930.0,51410.0,USRepKCastor
76,76,Castro,Joaquin,TX,-1,-0.5,-0.5,16864,0,1,690435.0,49421.0,JoaquinCastrotx
77,77,Chabot,Steve,OH,1,-0.5,-0.5,24771,1,1,707665.0,55712.0,RepSteveChabot
78,78,Cheney,Liz,WY,1,-0.5,0.5,19836,1,1,570345.0,59882.0,RepLizCheney
79,79,Chu,Judy,CA,-1,-0.5,0.5,24605,-1,1,614295.0,71223.0,RepJudyChu
80,80,Cicilline,David,RI,-1,-0.5,-0.5,21675,1,1,486140.0,56547.0,RepCicilline
81,81,Cisneros,Gilbert,CA,-1,-0.5,-0.5,18176,0,0.33,627415.0,85188.0,RepGilCisneros
82,82,Clark,Katherine,MA,-1,-0.5,0.5,20943,1,1,663390.0,92268.0,RepKClark
83,83,Clarke,Yvette,NY,-1,-0.5,0.5,20450,-0.5,1,627210.0,54895.0,RepYvetteClarke
84,84,Clay,Lacy,MO,-1,-0.5,-0.5,23489,-0.5,1,714610.0,45172.0,LacyClayMO1
85,85,Cleaver,Emanuel,MO,-1,-0.5,-0.5,27781,-0.5,1,733140.0,48693.0,RepCleaver
86,86,Cline,Ben,VA,1,-0.5,-0.5,17794,1,0.33,719490.0,50061.0,RepBenCline
87,87,Cloud,Michael,TX,1,-0.5,-0.5,16625,1,1,687705.0,53047.0,RepCloudTX
88,88,Clyburn,James,SC,-1,-0.5,-0.5,29339,-0.5,1,649245.0,35296.0,WhipClyburn
89,89,Cohen,Steve,TN,-1,-0.5,-0.5,26110,1,1,677410.0,39761.0,RepCohen
90,90,Cole,Tom,OK,1,-0.5,-0.5,26136,0.5,1,760270.0,55183.0,TomColeOK04
91,91,Collins,Doug,GA,1,-0.5,-0.5,19817,1,1,675575.0,50154.0,RepDougCollins
92,92,Collins,Susan,ME,1,0.5,0.5,24817,1,-0.33,1308385.0,53024.0,SenatorCollins
93,93,Collins,Chris,NY,1,-0.5,-0.5,25749,1,1,709535.0,62698.0,RepChrisCollins
94,95,Conaway,K.,TX,1,-0.5,-0.5,26457,1,1,701785.0,50602.0,ConawayTX11
95,96,Connolly,Gerald,VA,-1,-0.5,-0.5,25800,1,1,665415.0,106554.0,GerryConnolly
96,97,Cook,Paul,CA,1,-0.5,-0.5,28384,1,1,667670.0,49194.0,RepPaulCook
97,98,Coons,Chris,DE,-1,0.5,-0.5,20889,1,-0.33,890715.0,63036.0,ChrisCoons
98,99,Cooper,Jim,TN,-1,-0.5,-0.5,24258,1,1,691450.0,54470.0,RepJimCooper
99,100,Cornyn,John,TX,1,0.5,-0.5,25126,1,-0.33,24051900.0,57051.0,JohnCornyn
100,101,Correa,Lou,CA,-1,-0.5,-0.5,22943,0,1,541120.0,61304.0,RepLouCorrea
101,102,Cortez Masto,Catherine,NV,-1,0.5,0.5,20687,0,-0.33,2547140.0,55434.0,sencortezmasto
102,103,Costa,Jim,CA,-1,-0.5,-0.5,25055,1,1,602655.0,40207.0,RepJimCosta
103,104,Cotton,Tom,AR,1,0.5,-0.5,15894,1,-0.33,2874015.0,43813.0,SenTomCotton
104,105,Courtney,Joe,CT,-1,-0.5,-0.5,24697,1,1,687725.0,74784.0,RepJoeCourtney
105,106,Cox,TJ,CA,-1,-0.5,-0.5,20942,-1,-1,557185.0,41174.0,RepTjCox
106,107,Craig,Angie,MN,-1,-0.5,0.5,17809,1,-1,662655.0,80128.0,RepAngieCraig
107,108,Cramer,Kevin,ND,1,0.5,-0.5,21850,1,-1,721470.0,61285.0,SenKevinCramer
108,109,Crapo,Michael,ID,1,0.5,-0.5,25384,1,-0.33,1574200.0,50985.0,MikeCrapo
109,110,Crawford,Eric,AR,1,-0.5,-0.5,20023,1,1,716435.0,40492.0,RepRickCrawford
110,111,Crenshaw,Dan,TX,1,-0.5,-0.5,13397,1,0.33,662645.0,72711.0,RepDanCrenshaw
111,112,Crist,Charlie,FL,-1,-0.5,-0.5,23492,1,1,675410.0,48519.0,repcharliecrist
112,113,Crow,Jason,CO,-1,-0.5,-0.5,15223,1,-1,712650.0,76451.0,RepJasonCrow
113,114,Cruz,Ted,TX,1,0.5,-0.5,18228,0,1,24051900.0,57051.0,SenTedCruz
114,115,Cuellar,Henry,TX,-1,-0.5,-0.5,23801,0,1,624435.0,44021.0,RepCuellar
115,116,Cummings,Elijah,MD,-1,-0.5,-0.5,25506,-0.5,1,690000.0,61392.0,RepCummings
116,117,Cunningham,Joe,SC,-1,-0.5,-0.5,14055,1,-1,707525.0,64973.0,RepCunningham
117,118,Curtis,John,UT,1,-0.5,-0.5,22106,1,1,701610.0,70763.0,RepJohnCurtis
118,119,Daines,Steve,MT,1,0.5,-0.5,21274,1,-0.33,1013805.0,50801.0,SteveDaines
119,120,Davids,Sharice,KS,-1,-0.5,0.5,14789,0.5,-1,699810.0,71562.0,RepDavids
120,121,Davidson,Warren,OH,1,-0.5,-0.5,18524,1,1,710460.0,58213.0,WarrenDavidson
121,122,Davis,Rodney,IL,1,-0.5,-0.5,18579,1,1,687140.0,49758.0,RepDannyDavis
122,123,Davis,Danny,IL,-1,-0.5,-0.5,28927,-0.5,1,671275.0,54147.0,RepSusanDavis
123,124,Davis,Susan,CA,-1,-0.5,0.5,27977,1,1,675895.0,69314.0,RodneyDavis
124,125,DeFazio,Peter,OR,-1,-0.5,-0.5,26838,1,1,754075.0,46749.0,RepPeterDeFazio
125,126,DeGette,Diana,CO,-1,-0.5,0.5,23122,1,1,712165.0,62718.0,RepDianaDeGette
126,127,DeLauro,Rosa,CT,-1,-0.5,0.5,28385,1,1,670070.0,67774.0,RosaDeLauro
127,128,DeSaulnier,Mark,CA,-1,-0.5,-0.5,25068,1,1,644735.0,86000.0,RepDeSaulnier
128,129,Dean,Madeleine,PA,-1,-0.5,0.5,22445,1,0.33,689979.0,0.0,RepDean
129,130,DelBene,Suzan,WA,-1,-0.5,0.5,21458,1,1,655545.0,91018.0,RepDelBene
130,131,Delgado,Antonio,NY,-1,-0.5,-0.5,15999,-0.5,-1,687730.0,59619.0,repdelgado
131,132,Demings,Val,FL,-1,-0.5,0.5,23261,-0.5,1,674450.0,50151.0,RepValDemings
132,133,DesJarlais,Scott,TN,1,-0.5,-0.5,20724,1,1,722810.0,50598.0,DesJarlaisTN04
133,134,Deutch,Theodore,FL,-1,-0.5,-0.5,19918,1,1,645025.0,60159.0,RepTedDeutch
134,135,Diaz-Balart,Mario,FL,1,-0.5,-0.5,21603,0,1,546765.0,46247.0,MarioDB
135,136,Dingell,Debbie,MI,-1,-0.5,0.5,24466,1,1,667170.0,55506.0,RepDebDingell
136,137,Doggett,Lloyd,TX,-1,-0.5,-0.5,27071,1,1,684075.0,48490.0,RepLloydDoggett
137,138,Doyle,Michael,PA,-1,-0.5,-0.5,24576,1,1,680872.0,0.0,USRepMikeDoyle
138,139,Duckworth,Tammy,IL,-1,0.5,0.5,19243,-1,-0.33,11928165.0,61229.0,SenDuckworth
139,140,Duffy,Sean,WI,1,-0.5,-0.5,17943,1,1,701860.0,51738.0,RepSeanDuffy
140,141,Duncan,Jeff,SC,1,-0.5,-0.5,20038,1,1,656220.0,45042.0,RepJeffDuncan
141,142,Dunn,Neal,FL,1,-0.5,-0.5,24746,1,1,691555.0,46062.0,drnealdunnfl2
142,143,Durbin,Richard,IL,-1,0.5,-0.5,27755,1,-0.33,11928165.0,61229.0,SenatorDurbin
143,144,Emmer,Tom,MN,1,-0.5,-0.5,21809,1,1,674150.0,77049.0,RepTomEmmer
144,145,Engel,Eliot,NY,-1,-0.5,-0.5,26936,1,1,645505.0,69086.0,RepEliotEngel
145,146,Enzi,Michael,WY,1,0.5,-0.5,28049,1,-0.33,570345.0,60938.0,SenatorEnzi
146,147,Ernst,Joni,IA,1,0.5,0.5,18402,1,-0.33,3012095.0,56570.0,SenJoniErnst
147,148,Escobar,Veronica,TX,-1,-0.5,0.5,18691,0,0.33,632990.0,44045.0,RepEscobar
148,149,Eshoo,Anna,CA,-1,-0.5,0.5,28464,1,1,629140.0,125790.0,RepAnnaEshoo
149,150,Espaillat,Adriano,NY,-1,-0.5,-0.5,24158,0,1,620380.0,41103.0,RepEspaillat
150,151,Estes,Ron,KS,1,-0.5,-0.5,23497,1,1,693660.0,52054.0,RepRonEstes
151,152,Evans,Dwight,PA,-1,-0.5,-0.5,24292,-0.5,1,684381.0,0.0,RepDwightEvans
152,153,Feinstein,Dianne,CA,-1,0.5,0.5,31925,1,1,33355855.0,67169.0,SenFeinstein
153,154,Ferguson,Drew,GA,1,-0.5,-0.5,19361,1,1,694610.0,56240.0,RepDrewFerguson
154,155,Finkenauer,Abby,IA,-1,-0.5,0.5,11648,1,-1,753345.0,57402.0,RepFinkenauer
155,156,Fischer,Deb,NE,1,0.5,0.5,25464,1,1,1799310.0,56675.0,SenatorFischer
156,157,Fitzpatrick,Brian,PA,1,-0.5,-0.5,17137,1,1,683529.0,0.0,repbrianfitz
157,158,Fleischmann,Charles,TN,1,-0.5,-0.5,21222,1,1,705280.0,43938.0,RepChuck
158,159,Fletcher,Lizzie,TX,-1,-0.5,0.5,16714,1,-1,618360.0,71183.0,RepFletcher
159,160,Flores,Bill,TX,1,-0.5,-0.5,24372,0,1,679545.0,50888.0,RepBillFlores
160,161,Fortenberry,Jeff,NE,1,-0.5,-0.5,21875,1,1,605570.0,58537.0,JeffFortenberry
161,162,Foster,Bill,IL,-1,-0.5,-0.5,23783,1,1,647495.0,72198.0,RepBillFoster
162,163,Foxx,Virginia,NC,1,-0.5,0.5,28266,1,1,713940.0,45001.0,VirginiaFoxx
163,164,Frankel,Lois,FL,-1,-0.5,0.5,26483,1,1,645385.0,55864.0,RepLoisFrankel
164,165,Fudge,Marcia,OH,-1,-0.5,0.5,24856,-0.5,1,683215.0,35735.0,RepMarciaFudge
165,166,Fulcher,Russ,ID,1,-0.5,-0.5,21438,1,0.33,811550.0,52199.0,RepRussFulcher
166,167,Gabbard,Tulsi,HI,-1,-0.5,0.5,14464,-1,1,664745.0,70867.0,TulsiPress
167,168,Gaetz,Matt,FL,1,-0.5,-0.5,14074,1,1,725045.0,53006.0,RepMattGaetz
168,169,Gallagher,Mike,WI,1,-0.5,-0.5,13408,1,1,707485.0,57888.0,RepGallagher
169,170,Gallego,Ruben,AZ,-1,-0.5,-0.5,14973,0,1,615185.0,40991.0,RepRubenGallego
170,171,Garamendi,John,CA,-1,-0.5,-0.5,27691,1,1,652310.0,61508.0,RepGaramendi
171,172,Garcia,Jesus,IL,-1,-0.5,-0.5,23595,0,0.33,544910.0,51383.0,RepChuyGarcia
172,173,Garcia,Sylvia,TX,-1,-0.5,0.5,25640,0,0.33,552055.0,41737.0,RepSylviaGarcia
173,174,Gardner,Cory,CO,1,0.5,-0.5,16889,1,-0.33,5041535.0,65458.0,SenCoryGardner
174,176,Gibbs,Bob,OH,1,-0.5,-0.5,24263,1,1,717965.0,53374.0,RepBobGibbs
175,177,Gillibrand,Kirsten,NY,-1,0.5,0.5,19702,1,1,17677055.0,62765.0,GillibrandNY
176,178,Gohmert,Louie,TX,1,-0.5,-0.5,24563,1,1,672585.0,45313.0,RepLouieGohmert
177,179,Golden,Jared,ME,-1,-0.5,-0.5,13995,1,-1,648170.0,46638.0,repgolden
178,180,Gomez,Jimmy,CA,-1,-0.5,-0.5,16794,0,1,506520.0,40847.0,RepJimmyGomez
179,181,Gonzalez,Anthony,OH,1,-0.5,-0.5,13209,0,0.33,709785.0,64197.0,RepAGonzalez
180,182,Gonzalez,Vicente,TX,-1,-0.5,-0.5,19433,0,1,629555.0,41947.0,RepJenniffer
181,183,Gonzalez-Colon,Jenniffer,PR,1,-0.5,0.5,16175,0,1,0.0,0.0,RepGonzalez
182,184,Gooden,Lance,TX,1,-0.5,-0.5,13866,1,0.33,655200.0,50536.0,RepLanceGooden
183,185,Gosar,Paul,AZ,1,-0.5,-0.5,22641,1,1,702085.0,49466.0,RepGosar
184,186,Gottheimer,Josh,NJ,-1,-0.5,-0.5,16691,1,1,691180.0,100219.0,RepJoshG
185,187,Graham,Lindsey,SC,1,0.5,-0.5,23873,1,-0.33,4694715.0,48781.0,GrahamBlog
186,188,Granger,Kay,TX,1,-0.5,0.5,28428,1,1,710775.0,62214.0,RepKayGranger
187,189,Grassley,Charles,IA,1,0.5,-0.5,31838,1,-0.33,3012095.0,56570.0,ChuckGrassley
188,190,Graves,Sam,MO,1,-0.5,-0.5,20830,1,1,749380.0,58532.0,RepSamGraves
189,191,Graves,Garret,LA,1,-0.5,-0.5,17823,1,1,766160.0,59270.0,RepGarretGraves
190,192,Graves,Tom,GA,1,-0.5,-0.5,18550,1,1,667195.0,48691.0,RepTomGraves
191,193,Green,Mark,TN,1,-0.5,-0.5,20463,1,0.33,727575.0,53276.0,RepMarkGreen
192,194,Green,Al,TX,-1,-0.5,-0.5,26741,-0.5,1,599815.0,46048.0,RepAlGreen
193,195,Griffith,H.,VA,1,-0.5,-0.5,22893,1,1,705650.0,41698.0,RepMGriffith
194,196,Grijalva,Ra'ul,AZ,-1,-0.5,-0.5,26570,0,1,648715.0,44224.0,RepraulGrijalva
195,197,Grothman,Glenn,WI,1,-0.5,-0.5,23879,1,1,698950.0,57129.0,RepGrothman
196,198,Guest,Michael,MS,1,-0.5,-0.5,18549,1,0.33,737350.0,45115.0,RepMichaelGuest
197,199,Guthrie,Brett,KY,1,-0.5,-0.5,20727,1,1,728320.0,49960.0,RepGuthrie
198,200,Haaland,Debra,NM,-1,-0.5,0.5,21900,0.5,0.33,645865.0,49570.0,RepDebHaaland
199,201,Hagedorn,Jim,MN,1,-0.5,-0.5,21290,1,0.33,644245.0,60424.0,RepHagedorn
200,202,Harder,Josh,CA,-1,-0.5,-0.5,12527,1,-1,649130.0,60235.0,RepJoshHarder
201,203,Harris,Andy,MD,1,-0.5,-0.5,23307,1,1,710770.0,69254.0,RepAndyHarrisMD
202,204,Harris,Kamala,CA,-1,0.5,0.5,20482,-0.5,-0.33,33355855.0,67169.0,SenKamalaHarris
203,205,Hartzler,Vicky,MO,1,-0.5,0.5,21950,1,1,746830.0,48065.0,RepHartzler
204,206,Hassan,Margaret,NH,-1,0.5,0.5,22909,1,-0.33,1291410.0,71305.0,Senatorhassan
205,207,Hastings,Alcee,FL,-1,-0.5,-0.5,30754,-0.5,1,631450.0,43677.0,RepHastingsFL
206,208,Hawley,Joshua,MO,1,0.5,-0.5,14932,1,-1,5930025.0,51542.0,SenHawleyPress
207,209,Hayes,Jahana,CT,-1,-0.5,0.5,17421,-0.5,0.33,664980.0,68904.0,RepJahanaHayes
208,210,Heck,Denny,WA,-1,-0.5,-0.5,24948,1,1,678135.0,62206.0,RepDennyHeck
209,211,Heinrich,Martin,NM,-1,0.5,-0.5,17929,1,1,1954250.0,46718.0,MartinHeinrich
210,212,Hern,Kevin,OK,1,-0.5,-0.5,21533,1,0.33,741015.0,52319.0,repkevinhern
211,213,Herrera Beutler,Jaime,WA,1,-0.5,0.5,15355,0,1,670310.0,61304.0,HerreraBeutler
212,214,Hice,Jody,GA,1,-0.5,-0.5,22124,1,1,698745.0,51532.0,congressmanhice
213,215,Higgins,Clay,LA,1,-0.5,-0.5,21635,1,1,760695.0,44668.0,RepBrianHiggins
214,216,Higgins,Brian,NY,-1,-0.5,-0.5,22323,1,1,686395.0,47358.0,RepClayHiggins
215,217,Hill,French,AR,1,-0.5,-0.5,23358,1,1,735830.0,49498.0,RepKatieHill
216,218,Hill,Katie,CA,-1,-0.5,0.5,12138,1,-1,656050.0,75367.0,RepFrenchHill
217,219,Himes,James,CT,-1,-0.5,-0.5,19859,1,1,646375.0,94862.0,jahimes
218,220,Hirono,Mazie,HI,-1,0.5,0.5,26678,-1,1,1303955.0,74923.0,MazieHirono
219,221,Hoeven,John,ND,1,0.5,-0.5,23260,1,-0.33,721470.0,61285.0,SenJohnHoeven
220,222,Holding,George,NC,1,-0.5,-0.5,19207,1,1,758085.0,65792.0,RepHolding
221,223,Hollingsworth,Trey,IN,1,-0.5,-0.5,13581,1,1,720475.0,55078.0,reptrey
222,224,Horn,Kendra,OK,-1,-0.5,0.5,16143,1,-1,737920.0,49616.0,RepKendraHorn
223,225,Horsford,Steven,NV,-1,-0.5,-0.5,17369,-0.5,0.33,656295.0,55712.0,RepHorsford
224,226,Houlahan,Chrissy,PA,-1,-0.5,0.5,19524,1,0.33,679842.0,0.0,RepHoulahan
225,227,Hoyer,Steny,MD,-1,-0.5,-0.5,29742,1,1,713485.0,95442.0,LeaderHoyer
226,228,Hudson,Richard,NC,1,-0.5,-0.5,17911,1,1,733695.0,50570.0,RepRichHudson
227,229,Huffman,Jared,CA,-1,-0.5,-0.5,20727,1,1,660390.0,66604.0,RepHuffman
228,230,Huizenga,Bill,MI,1,-0.5,-0.5,18918,1,1,701475.0,52919.0,RepHuizenga
229,231,Hunter,Duncan,CA,1,-0.5,-0.5,16051,1,1,657385.0,71692.0,Rep_Hunter
230,232,Hurd,Will,TX,1,-0.5,-0.5,15796,-0.5,1,662600.0,51293.0,hurdonthehill
231,233,Hyde-Smith,Cindy,MS,1,0.5,0.5,22472,1,1,2946760.0,42009.0,SenHydeSmith
232,234,Inhofe,James,OK,1,0.5,-0.5,31412,1,-0.33,3725970.0,49767.0,InhofePress
233,235,Isakson,John,GA,1,0.5,-0.5,27718,1,-0.33,9507600.0,52977.0,SenatorIsakson
234,236,Jackson Lee,Sheila,TX,-1,-0.5,0.5,25877,-0.5,1,637240.0,42662.0,JacksonLeeTX18
235,237,Jayapal,Pramila,WA,-1,-0.5,0.5,20146,-1,1,669620.0,84579.0,RepJayapal
236,238,Jeffries,Hakeem,NY,-1,-0.5,-0.5,18368,-0.5,1,664565.0,51634.0,RepJeffries
237,239,Johnson,Ron,WI,1,0.5,-0.5,23965,1,-0.33,5599335.0,56759.0,SenRonJohnson
238,240,Johnson,Mike,LA,1,-0.5,-0.5,17824,1,1,748995.0,39748.0,RepMikeJohnson
239,241,Johnson,Eddie,TX,-1,-0.5,0.5,31031,-0.5,1,652185.0,44689.0,RepEBJ
240,242,Johnson,Bill,OH,1,-0.5,-0.5,24114,1,1,703545.0,46839.0,RepBillJohnson
241,243,Johnson,Henry,GA,-1,-0.5,-0.5,24153,-0.5,1,667990.0,51686.0,RepHankJohnson
242,244,Johnson,Dusty,SD,1,-0.5,-0.5,16119,1,0.33,833720.0,54467.0,RepDustyJohnson
243,245,Jones,Doug,AL,-1,0.5,-0.5,24304,1,-1,4734505.0,46472.0,sendougjones
244,247,Jordan,Jim,OH,1,-0.5,-0.5,20728,1,1,706585.0,52632.0,Jim_Jordan
245,248,Joyce,John,PA,1,-0.5,-0.5,23293,1,0.33,695469.0,0.0,RepJohnJoyce
246,249,Joyce,David,OH,1,-0.5,-0.5,23256,1,1,704510.0,63362.0,RepDaveJoyce
247,251,Kaptur,Marcy,OH,-1,-0.5,0.5,27182,1,1,698945.0,41417.0,RepMarcyKaptur
248,252,Katko,John,NY,1,-0.5,-0.5,21193,1,1,694615.0,56388.0,RepJohnKatko
249,253,Keating,William,MA,-1,-0.5,-0.5,24909,1,1,707605.0,68173.0,USRepKeating
250,254,Kelly,Robin,IL,-1,-0.5,0.5,23577,-0.5,1,679700.0,48417.0,MikeKellyPA
251,255,Kelly,Mike,PA,1,-0.5,-0.5,26489,1,1,689905.0,0.0,reptrentkelly
