,lastName,firstName,state,party,chamber,gender,birthday,raceEthnicity,pre2018incumbent,citizenPopulation,medianHouseholdIncome,TweetCongress
27,Beyer,Donald,VA,Democrat,rep,M,6/20/1950,White - Non-Hispanic,Won,655370.0,100719.0,RepEBJ
28,Biggs,Andy,AZ,Republican,rep,M,11/7/1958,White - Non-Hispanic,Won,728335.0,71693.0,RepDonBeyer
29,Bilirakis,Gus,FL,Republican,rep,M,2/8/1963,White - Non-Hispanic,Won,701195.0,49774.0,RepAndyBiggsAZ
30,Bishop,Sanford,GA,Democrat,rep,M,2/4/1947,Black - African-American,Won,670425.0,35617.0,RepGusBilirakis
31,Bishop,Rob,UT,Republican,rep,M,7/13/1951,White - Non-Hispanic,Won,704790.0,65896.0,SanfordBishop
32,Blackburn,Marsha,TN,Republican,sen,F,6/6/1952,White - Non-Hispanic,Open - Retired,6349395.0,48708.0,RepRobBishop
33,Blumenauer,Earl,OR,Democrat,rep,M,8/16/1948,White - Non-Hispanic,Won,752315.0,63231.0,MarshaBlackburn
34,Blumenthal,Richard,CT,Democrat,sen,M,2/13/1946,White - Non-Hispanic,Not up,3333940.0,73781.0,BlumenauerMedia
35,Blunt,Roy,MO,Republican,sen,M,1/10/1950,White - Non-Hispanic,Not up,5930025.0,51542.0,SenBlumenthal
36,Blunt Rochester,Lisa,DE,Democrat,rep,F,2/10/1962,Black - African-American,Won,890715.0,61757.0,RoyBlunt
37,Bonamici,Suzanne,OR,Democrat,rep,F,10/14/1954,White - Non-Hispanic,Won,742215.0,72097.0,RepLBR
38,Booker,Cory,NJ,Democrat,sen,M,4/27/1969,Black - African-American,Not up,8019215.0,76475.0,RepBonamici
39,Boozman,John,AR,Republican,sen,M,12/10/1950,White - Non-Hispanic,Not up,2874015.0,43813.0,SenBooker
40,Bost,Mike,IL,Republican,rep,M,12/30/1960,White - Non-Hispanic,Won,694380.0,47430.0,JohnBoozman
41,Boyle,Brendan,PA,Democrat,rep,M,2/6/1977,White - Non-Hispanic,Won,665528.0,,RepBost
42,Brady,Kevin,TX,Republican,rep,M,4/11/1955,White - Non-Hispanic,Won,719700.0,64861.0,CongBoyle
43,Braun,Mike,IN,Republican,sen,M,3/24/1954,White - Non-Hispanic,Lost,6385820.0,52182.0,RepKevinBrady
44,Brindisi,Anthony,NY,Democrat,rep,M,,White - Non-Hispanic,Lost,691840.0,52967.0,SenatorBraun
45,Brooks,Susan,IN,Republican,rep,F,8/25/1960,White - Non-Hispanic,Won,727335.0,67461.0,RepBrindisi
46,Brooks,Mo,AL,Republican,rep,M,4/29/1954,White - Non-Hispanic,Won,686530.0,51690.0,SusanWBrooks
47,Brown,Anthony,MD,Democrat,rep,M,11/21/1961,Black - African-American,Won,657310.0,79350.0,RepMoBrooks
48,Brown,Sherrod,OH,Democrat,sen,M,11/9/1952,White - Non-Hispanic,Won,11348025.0,52407.0,SenSherrodBrown
49,Brownley,Julia,CA,Democrat,rep,F,8/28/1952,White - Non-Hispanic,Won,625225.0,76914.0,RepAnthonyBrown
50,Buchanan,Vern,FL,Republican,rep,M,5/8/1951,White - Non-Hispanic,Won,707850.0,55447.0,JuliaBrownley26
51,Buck,Ken,CO,Republican,rep,M,2/16/1959,White - Non-Hispanic,Won,725970.0,67878.0,VernBuchanan
52,Bucshon,Larry,IN,Republican,rep,M,5/31/1962,White - Non-Hispanic,Won,713350.0,50261.0,RepKenBuck
53,Budd,Ted,NC,Republican,rep,M,10/21/1971,White - Non-Hispanic,Won,716695.0,47440.0,RepLarryBucshon
54,Burchett,Tim,TN,Republican,rep,M,,White - Non-Hispanic,Open - Retired,708115.0,50701.0,RepTedBudd
55,Burgess,Michael,TX,Republican,rep,M,12/23/1950,White - Non-Hispanic,Won,739340.0,87272.0,RepTimBurchett
56,Burr,Richard,NC,Republican,sen,M,11/30/1955,White - Non-Hispanic,Not up,9445115.0,50320.0,MichaelCBurgess
57,Bustos,Cheri,IL,Democrat,rep,F,10/17/1961,White - Non-Hispanic,Won,677305.0,45360.0,SenatorBurr
58,Butterfield,George,NC,Democrat,rep,M,4/27/1947,Black - African-American,Won,707355.0,40895.0,RepCheri
59,Byrne,Bradley,AL,Republican,rep,M,2/16/1955,White - Non-Hispanic,Won,688770.0,47083.0,GKButterfield
60,Calvert,Ken,CA,Republican,rep,M,6/8/1953,White - Non-Hispanic,Won,693480.0,76504.0,RepByrne
61,Cantwell,Maria,WA,Democrat,sen,F,10/13/1958,White - Non-Hispanic,Won,6564110.0,66174.0,KenCalvert
62,Capito,Shelley,WV,Republican,sen,F,11/26/1953,White - Non-Hispanic,Not up,1831855.0,44061.0,SenatorCantwell
63,Carbajal,Salud,CA,Democrat,rep,M,11/18/1964,Hispanic - Mexican,Won,644190.0,68929.0,SenCapito
64,Cardenas,Tony,CA,Democrat,rep,M,3/31/1963,Hispanic - Mexican,Won,545910.0,50655.0,RepCarbajal
65,Cardin,Benjamin,MD,Democrat,sen,M,10/5/1943,White - Non-Hispanic,Won,5517145.0,78916.0,RepCardenas
66,Carper,Thomas,DE,Democrat,sen,M,1/23/1947,White - Non-Hispanic,Won,890715.0,63036.0,SenatorCardin
67,Carson,Andr'e,IN,Democrat,rep,M,10/16/1974,Black - African-American,Won,696285.0,41429.0,SenatorCarper
68,Carter,John,TX,Republican,rep,M,11/6/1941,White - Non-Hispanic,Won,739530.0,69228.0,RepAndreCarson
69,Carter,Buddy,GA,Republican,rep,M,9/6/1957,White - Non-Hispanic,Won,701405.0,50931.0,RepBuddyCarter
70,Cartwright,Matthew,PA,Democrat,rep,M,5/1/1961,White - Non-Hispanic,Won,676877.0,,JudgeCarter
71,Case,Ed,HI,Democrat,rep,M,9/27/1952,White - Non-Hispanic,Open - Ran for governor,639210.0,78180.0,RepCartwright
72,Casey,Robert,PA,Democrat,sen,M,4/13/1960,White - Non-Hispanic,Won,12390675.0,56951.0,RepEdCase
73,Cassidy,Bill,LA,Republican,sen,M,9/28/1957,White - Non-Hispanic,Not up,4535710.0,46710.0,SenBobCasey
74,Casten,Sean,IL,Democrat,rep,M,,White - Non-Hispanic,Lost,682045.0,97387.0,SenBillCassidy
75,Castor,Kathy,FL,Democrat,rep,F,8/20/1966,White - Non-Hispanic,Won,668930.0,51410.0,RepCasten
76,Castro,Joaquin,TX,Democrat,rep,M,9/16/1974,Hispanic - Mexican,Won,690435.0,49421.0,USRepKCastor
77,Chabot,Steve,OH,Republican,rep,M,1/22/1953,White - Non-Hispanic,Won,707665.0,55712.0,JoaquinCastrotx
78,Cheney,Liz,WY,Republican,rep,F,7/28/1966,White - Non-Hispanic,Won,570345.0,59882.0,RepSteveChabot
79,Chu,Judy,CA,Democrat,rep,F,7/7/1953,Asian - Chinese,Won,614295.0,71223.0,RepLizCheney
80,Cicilline,David,RI,Democrat,rep,M,7/15/1961,White - Non-Hispanic,Won,486140.0,56547.0,RepJudyChu
81,Cisneros,Gilbert,CA,Democrat,rep,M,,Hispanic,Open - Retired,627415.0,85188.0,RepCicilline
82,Clark,Katherine,MA,Democrat,rep,F,7/17/1963,White - Non-Hispanic,Won,663390.0,92268.0,RepGilCisneros
83,Clarke,Yvette,NY,Democrat,rep,F,11/21/1964,Black - African-American,Won,627210.0,54895.0,RepKClark
84,Clay,Wm.,MO,Democrat,rep,M,7/27/1956,Black - African-American,Won,714610.0,45172.0,RepYvetteClarke
85,Cleaver,Emanuel,MO,Democrat,rep,M,10/26/1944,Black - African-American,Won,733140.0,48693.0,
86,Cline,Ben,VA,Republican,rep,M,,White - Non-Hispanic,Open - Retired,719490.0,50061.0,RepCleaver
87,Cloud,Michael,TX,Republican,rep,M,5/13/1975,White - Non-Hispanic,Won,687705.0,53047.0,RepBenCline
88,Clyburn,James,SC,Democrat,rep,M,7/21/1940,Black - African-American,Won,649245.0,35296.0,RepCloudTX
89,Cohen,Steve,TN,Democrat,rep,M,5/24/1949,White - Non-Hispanic,Won,677410.0,39761.0,WhipClyburn
90,Cole,Tom,OK,Republican,rep,M,4/28/1949,Native American - Chickasaw,Won,760270.0,55183.0,RepCohen
91,Collins,Doug,GA,Republican,rep,M,8/16/1966,White - Non-Hispanic,Won,675575.0,50154.0,TomColeOK04
92,Collins,Susan,ME,Republican,sen,F,12/7/1952,White - Non-Hispanic,Not up,1308385.0,53024.0,SenatorCollins
93,Collins,Chris,NY,Republican,rep,M,5/20/1950,White - Non-Hispanic,Won,709535.0,62698.0,RepChrisCollins
94,Comer,James,KY,Republican,rep,M,8/19/1972,White - Non-Hispanic,Won,715795.0,40253.0,RepDougCollins
95,Conaway,K.,TX,Republican,rep,M,6/11/1948,White - Non-Hispanic,Won,701785.0,50602.0,
96,Connolly,Gerald,VA,Democrat,rep,M,3/30/1950,White - Non-Hispanic,Won,665415.0,106554.0,ConawayTX11
97,Cook,Paul,CA,Republican,rep,M,3/3/1943,White - Non-Hispanic,Won,667670.0,49194.0,GerryConnolly
98,Coons,Chris,DE,Democrat,sen,M,9/9/1963,White - Non-Hispanic,Not up,890715.0,63036.0,RepPaulCook
99,Cooper,Jim,TN,Democrat,rep,M,6/19/1954,White - Non-Hispanic,Won,691450.0,54470.0,ChrisCoons
100,Cornyn,John,TX,Republican,sen,M,2/2/1952,White - Non-Hispanic,Not up,24051900.0,57051.0,RepJimCooper
101,Correa,Lou,CA,Democrat,rep,M,1/24/1958,Hispanic - Mexican,Won,541120.0,61304.0,JohnCornyn
102,Cortez Masto,Catherine,NV,Democrat,sen,F,3/29/1964,Hispanic - Mexican,Not up,2547140.0,55434.0,RepLouCorrea
103,Costa,Jim,CA,Democrat,rep,M,4/13/1952,White - Portuguese-American,Won,602655.0,40207.0,sencortezmasto
104,Cotton,Tom,AR,Republican,sen,M,5/13/1977,White - Non-Hispanic,Not up,2874015.0,43813.0,RepJimCosta
105,Courtney,Joe,CT,Democrat,rep,M,4/6/1953,White - Non-Hispanic,Won,687725.0,74784.0,SenTomCotton
106,Cox,TJ,CA,Democrat,rep,M,,Asian - Filipino/Chinese,Lost,557185.0,41174.0,RepJoeCourtney
107,Craig,Angie,MN,Democrat,rep,F,,White - Non-Hispanic,Lost,662655.0,80128.0,RepTjCox
108,Cramer,Kevin,ND,Republican,sen,M,1/21/1961,White - Non-Hispanic,Lost,721470.0,61285.0,RepAngieCraig
109,Crapo,Michael,ID,Republican,sen,M,5/20/1951,White - Non-Hispanic,Not up,1574200.0,50985.0,SenKevinCramer
110,Crawford,Eric,AR,Republican,rep,M,1/22/1966,White - Non-Hispanic,Won,716435.0,40492.0,MikeCrapo
111,Crenshaw,Dan,TX,Republican,rep,M,,White - Non-Hispanic,Open - Retired,662645.0,72711.0,RepRickCrawford
112,Crist,Charlie,FL,Democrat,rep,M,7/24/1956,White - Non-Hispanic,Won,675410.0,48519.0,RepDanCrenshaw
113,Crow,Jason,CO,Democrat,rep,M,,White - Non-Hispanic,Lost,712650.0,76451.0,repcharliecrist
114,Cruz,Ted,TX,Republican,sen,M,12/22/1970,Hispanic - Cuban,Won,24051900.0,57051.0,RepJasonCrow
115,Cuellar,Henry,TX,Democrat,rep,M,9/19/1955,Hispanic - Mexican,Won,624435.0,44021.0,SenTedCruz
116,Cummings,Elijah,MD,Democrat,rep,M,1/18/1951,Black - African-American,Won,690000.0,61392.0,RepCuellar
117,Cunningham,Joe,SC,Democrat,rep,M,,White - Non-Hispanic,Lost in primary,707525.0,64973.0,RepCummings
118,Curtis,John,UT,Republican,rep,M,5/10/1960,White - Non-Hispanic,Won,701610.0,70763.0,RepCunningham
119,Daines,Steve,MT,Republican,sen,M,8/20/1962,White - Non-Hispanic,Not up,1013805.0,50801.0,RepJohnCurtis
120,Davids,Sharice,KS,Democrat,rep,F,,Native American - Ho-Chunk,Lost,699810.0,71562.0,SteveDaines
121,Davidson,Warren,OH,Republican,rep,M,3/1/1970,White - Non-Hispanic,Won,710460.0,58213.0,RepDavids
122,Davis,Rodney,IL,Republican,rep,M,1/5/1970,White - Non-Hispanic,Won,687140.0,49758.0,WarrenDavidson
123,Davis,Danny,IL,Democrat,rep,M,9/6/1941,Black - African-American,Won,671275.0,54147.0,RepDannyDavis
124,Davis,Susan,CA,Democrat,rep,F,4/13/1944,White - Non-Hispanic,Won,675895.0,69314.0,RepSusanDavis
125,DeFazio,Peter,OR,Democrat,rep,M,5/27/1947,White - Non-Hispanic,Won,754075.0,46749.0,RodneyDavis
126,DeGette,Diana,CO,Democrat,rep,F,7/29/1957,White - Non-Hispanic,Won,712165.0,62718.0,RepPeterDeFazio
127,DeLauro,Rosa,CT,Democrat,rep,F,3/2/1943,White - Non-Hispanic,Won,670070.0,67774.0,RepDianaDeGette
128,DeSaulnier,Mark,CA,Democrat,rep,M,3/31/1952,White - Non-Hispanic,Won,644735.0,86000.0,RosaDeLauro
129,Dean,Madeleine,PA,Democrat,rep,F,,White - Non-Hispanic,Open - Retired,689979.0,,RepDeSaulnier
130,DelBene,Suzan,WA,Democrat,rep,F,2/17/1962,White - Non-Hispanic,Won,655545.0,91018.0,RepDean
131,Delgado,Antonio,NY,Democrat,rep,M,,Black - African-American/Hispanic - Puerto Rican,Lost,687730.0,59619.0,RepDelBene
132,Demings,Val,FL,Democrat,rep,F,3/12/1957,Black - African-American,Won,674450.0,50151.0,repdelgado
133,DesJarlais,Scott,TN,Republican,rep,M,2/21/1964,White - Non-Hispanic,Won,722810.0,50598.0,RepValDemings
134,Deutch,Theodore,FL,Democrat,rep,M,5/7/1966,White - Non-Hispanic,Won,645025.0,60159.0,DesJarlaisTN04
135,Diaz-Balart,Mario,FL,Republican,rep,M,9/25/1961,Hispanic - Cuban,Won,546765.0,46247.0,RepTedDeutch
136,Dingell,Debbie,MI,Democrat,rep,F,11/23/1953,White - Non-Hispanic,Won,667170.0,55506.0,MarioDB
137,Doggett,Lloyd,TX,Democrat,rep,M,10/6/1946,White - Non-Hispanic,Won,684075.0,48490.0,RepDebDingell
138,Doyle,Michael,PA,Democrat,rep,M,8/5/1953,White - Non-Hispanic,Won,680872.0,,RepLloydDoggett
139,Duckworth,Tammy,IL,Democrat,sen,F,3/12/1968,Asian - Thai,Not up,11928165.0,61229.0,USRepMikeDoyle
140,Duffy,Sean,WI,Republican,rep,M,10/3/1971,White - Non-Hispanic,Won,701860.0,51738.0,SenDuckworth
141,Duncan,Jeff,SC,Republican,rep,M,1/7/1966,White - Non-Hispanic,Won,656220.0,45042.0,RepSeanDuffy
142,Dunn,Neal,FL,Republican,rep,M,2/16/1953,White - Non-Hispanic,Won,691555.0,46062.0,RepJeffDuncan
143,Durbin,Richard,IL,Democrat,sen,M,11/21/1944,White - Non-Hispanic,Not up,11928165.0,61229.0,drnealdunnfl2
144,Emmer,Tom,MN,Republican,rep,M,3/3/1961,White - Non-Hispanic,Won,674150.0,77049.0,SenatorDurbin
145,Engel,Eliot,NY,Democrat,rep,M,2/18/1947,White - Non-Hispanic,Won,645505.0,69086.0,RepMarkGreen
146,Enzi,Michael,WY,Republican,sen,M,2/1/1944,White - Non-Hispanic,Not up,570345.0,60938.0,RepTomEmmer
147,Ernst,Joni,IA,Republican,sen,F,7/1/1970,White - Non-Hispanic,Not up,3012095.0,56570.0,RepEliotEngel
148,Escobar,Veronica,TX,Democrat,rep,F,,Hispanic,Open - Ran for Senate,632990.0,44045.0,SenatorEnzi
149,Eshoo,Anna,CA,Democrat,rep,F,12/13/1942,White - Non-Hispanic,Won,629140.0,125790.0,SenJoniErnst
150,Espaillat,Adriano,NY,Democrat,rep,M,9/27/1954,Hispanic - Dominican,Won,620380.0,41103.0,RepEscobar
151,Estes,Ron,KS,Republican,rep,M,7/19/1956,White - Non-Hispanic,Won,693660.0,52054.0,RepAnnaEshoo
152,Evans,Dwight,PA,Democrat,rep,M,5/16/1954,Black - African-American,Won,684381.0,,RepEspaillat
153,Feinstein,Dianne,CA,Democrat,sen,F,6/22/1933,White - Non-Hispanic,Won,33355855.0,67169.0,RepRonEstes
154,Ferguson,A.,GA,Republican,rep,M,11/15/1967,White - Non-Hispanic,Won,694610.0,56240.0,RepDwightEvans
155,Finkenauer,Abby,IA,Democrat,rep,F,,White - Non-Hispanic,Lost,753345.0,57402.0,SenFeinstein
156,Fischer,Deb,NE,Republican,sen,F,3/1/1951,White - Non-Hispanic,Won,1799310.0,56675.0,RepDrewFerguson
157,Fitzpatrick,Brian,PA,Republican,rep,M,12/17/1973,White - Non-Hispanic,Won,683529.0,,RepFinkenauer
158,Fleischmann,Charles,TN,Republican,rep,M,10/11/1962,White - Non-Hispanic,Won,705280.0,43938.0,SenatorFischer
159,Fletcher,Lizzie,TX,Democrat,rep,F,,White - Non-Hispanic,Lost,618360.0,71183.0,repbrianfitz
160,Flores,Bill,TX,Republican,rep,M,2/25/1954,Hispanic - Texan (Hispanos),Won,679545.0,50888.0,RepChuck
161,Fortenberry,Jeff,NE,Republican,rep,M,12/27/1960,White - Non-Hispanic,Won,605570.0,58537.0,RepFletcher
162,Foster,Bill,IL,Democrat,rep,M,10/7/1955,White - Non-Hispanic,Won,647495.0,72198.0,RepBillFlores
163,Foxx,Virginia,NC,Republican,rep,F,6/29/1943,White - Non-Hispanic,Won,713940.0,45001.0,JeffFortenberry
164,Frankel,Lois,FL,Democrat,rep,F,5/16/1948,White - Non-Hispanic,Won,645385.0,55864.0,RepBillFoster
165,Fudge,Marcia,OH,Democrat,rep,F,10/29/1952,Black - African-American,Won,683215.0,35735.0,VirginiaFoxx
166,Fulcher,Russ,ID,Republican,rep,M,,White - Non-Hispanic,Open - Ran for governor,811550.0,52199.0,RepLoisFrankel
167,Gabbard,Tulsi,HI,Democrat,rep,F,4/12/1981,Pacific Islander - Samoan,Won,664745.0,70867.0,RepMarciaFudge
168,Gaetz,Matt,FL,Republican,rep,M,5/7/1982,White - Non-Hispanic,Won,725045.0,53006.0,RepRussFulcher
169,Gallagher,Mike,WI,Republican,rep,M,3/3/1984,White - Non-Hispanic,Won,707485.0,57888.0,TulsiPress
170,Gallego,Ruben,AZ,Democrat,rep,M,11/20/1979,Hispanic - Mexican/Colombian,Won,615185.0,40991.0,RepMattGaetz
171,Garamendi,John,CA,Democrat,rep,M,1/24/1945,White - Non-Hispanic,Won,652310.0,61508.0,RepGallagher
172,Garcia,Jesus,IL,Democrat,rep,M,,Hispanic - Mexican,Open - Retired,544910.0,51383.0,RepRubenGallego
173,Garcia,Sylvia,TX,Democrat,rep,F,,Hispanic,Open - Retired,552055.0,41737.0,RepGaramendi
174,Gardner,Cory,CO,Republican,sen,M,8/22/1974,White - Non-Hispanic,Not up,5041535.0,65458.0,RepChuyGarcia
175,Gianforte,Greg,MT,Republican,rep,M,4/17/1961,White - Non-Hispanic,Won,1013805.0,50027.0,RepSylviaGarcia
176,Gibbs,Bob,OH,Republican,rep,M,6/14/1954,White - Non-Hispanic,Won,717965.0,53374.0,SenCoryGardner
177,Gillibrand,Kirsten,NY,Democrat,sen,F,12/9/1966,White - Non-Hispanic,Won,17677055.0,62765.0,
178,Gohmert,Louie,TX,Republican,rep,M,8/18/1953,White - Non-Hispanic,Won,672585.0,45313.0,RepBobGibbs
179,Golden,Jared,ME,Democrat,rep,,,White - Non-Hispanic,Lost,648170.0,46638.0,GillibrandNY
180,Gomez,Jimmy,CA,Democrat,rep,M,11/25/1974,Hispanic - Mexican,Won,506520.0,40847.0,RepLouieGohmert
181,Gonzalez,Anthony,OH,Republican,rep,M,,Hispanic - Cuban,Open - Ran for Senate,709785.0,64197.0,repgolden
182,Gonzalez,Vicente,TX,Democrat,rep,M,9/4/1967,Hispanic,Won,629555.0,41947.0,RepJimmyGomez
183,Gonzalez-Colon,Jenniffer,PR,Republican,rep,F,8/5/1976,,,,,RepAGonzalez
184,Gooden,Lance,TX,Republican,rep,M,,White - Non-Hispanic,Open - Retired,655200.0,50536.0,RepJenniffer
185,Gosar,Paul,AZ,Republican,rep,M,11/22/1958,White - Non-Hispanic,Won,702085.0,49466.0,RepGonzalez
186,Gottheimer,Josh,NJ,Democrat,rep,M,3/8/1975,White - Non-Hispanic,Won,691180.0,100219.0,RepLanceGooden
187,Graham,Lindsey,SC,Republican,sen,M,7/9/1955,White - Non-Hispanic,Not up,4694715.0,48781.0,RepGosar
188,Granger,Kay,TX,Republican,rep,F,1/18/1943,White - Non-Hispanic,Won,710775.0,62214.0,RepJoshG
189,Grassley,Charles,IA,Republican,sen,M,9/17/1933,White - Non-Hispanic,Not up,3012095.0,56570.0,GrahamBlog
190,Graves,Sam,MO,Republican,rep,M,11/7/1963,White - Non-Hispanic,Won,749380.0,58532.0,RepKayGranger
191,Graves,Garret,LA,Republican,rep,M,1/31/1972,White - Middle Eastern - Lebanese,Won,766160.0,59270.0,ChuckGrassley
192,Graves,Tom,GA,Republican,rep,M,2/3/1970,White - Non-Hispanic,Won,667195.0,48691.0,RepGarretGraves
193,Green,Mark,TN,Republican,rep,M,,White - Non-Hispanic,Open - Elected to Senate,727575.0,53276.0,RepSamGraves
194,Green,Al,TX,Democrat,rep,M,9/1/1947,Black - African-American,Won,599815.0,46048.0,RepTomGraves
195,Griffith,H.,VA,Republican,rep,M,3/15/1958,White - Non-Hispanic,Won,705650.0,41698.0,RepAlGreen
196,Grijalva,Ra'ul,AZ,Democrat,rep,M,2/19/1948,Hispanic - Mexican,Won,648715.0,44224.0,RepMGriffith
197,Grothman,Glenn,WI,Republican,rep,M,7/3/1955,White - Non-Hispanic,Won,698950.0,57129.0,RepraulGrijalva
198,Guest,Michael,MS,Republican,rep,M,,White - Non-Hispanic,Open - Retired,737350.0,45115.0,RepGrothman
199,Guthrie,Brett,KY,Republican,rep,M,2/18/1964,White - Non-Hispanic,Won,728320.0,49960.0,RepMichaelGuest
200,Haaland,Debra,NM,Democrat,rep,F,,Native American - Laguna Pueblo,Open - Elected governor,645865.0,49570.0,RepGuthrie
201,Hagedorn,Jim,MN,Republican,rep,M,,White - Non-Hispanic,Open - Elected governor,644245.0,60424.0,RepDebHaaland
202,Harder,Josh,CA,Democrat,rep,M,,White - Non-Hispanic,Lost,649130.0,60235.0,RepHagedorn
203,Harris,Andy,MD,Republican,rep,M,1/25/1957,White - Non-Hispanic,Won,710770.0,69254.0,RepJoshHarder
204,Harris,Kamala,CA,Democrat,sen,F,10/20/1964,Black - Jamaican/Asian - Indian,Not up,33355855.0,67169.0,RepAndyHarrisMD
205,Hartzler,Vicky,MO,Republican,rep,F,10/13/1960,White - Non-Hispanic,Won,746830.0,48065.0,SenKamalaHarris
206,Hassan,Margaret,NH,Democrat,sen,F,2/27/1958,White - Non-Hispanic,Not up,1291410.0,71305.0,RepHartzler
207,Hastings,Alcee,FL,Democrat,rep,M,9/5/1936,Black - African-American,Won,631450.0,43677.0,Senatorhassan
208,Hawley,Joshua,MO,Republican,sen,M,12/31/1979,White - Non-Hispanic,Lost,5930025.0,51542.0,RepHastingsFL
209,Hayes,Jahana,CT,Democrat,rep,F,,Black - African-American,Open - Retired,664980.0,68904.0,SenHawleyPress
210,Heck,Denny,WA,Democrat,rep,M,7/29/1952,White - Non-Hispanic,Won,678135.0,62206.0,RepJahanaHayes
211,Heinrich,Martin,NM,Democrat,sen,M,10/17/1971,White - Non-Hispanic,Won,1954250.0,46718.0,RepDennyHeck
212,Hern,Kevin,OK,Republican,rep,M,12/4/1961,White - Non-Hispanic,Vacant - Resignation,741015.0,52319.0,MartinHeinrich
213,Herrera Beutler,Jaime,WA,Republican,rep,F,11/3/1978,Hispanic - Mexican,Won,670310.0,61304.0,repkevinhern
214,Hice,Jody,GA,Republican,rep,M,4/22/1960,White - Non-Hispanic,Won,698745.0,51532.0,HerreraBeutler
215,Higgins,Clay,LA,Republican,rep,M,8/24/1961,White - Non-Hispanic,Won,760695.0,44668.0,congressmanhice
216,Higgins,Brian,NY,Democrat,rep,M,10/6/1959,White - Non-Hispanic,Won,686395.0,47358.0,RepBrianHiggins
217,Hill,French,AR,Republican,rep,M,12/5/1956,White - Non-Hispanic,Won,735830.0,49498.0,RepClayHiggins
218,Hill,Katie,CA,Democrat,rep,F,,White - Non-Hispanic,Lost,656050.0,75367.0,RepKatieHill
219,Himes,James,CT,Democrat,rep,M,7/5/1966,White - Non-Hispanic,Won,646375.0,94862.0,RepFrenchHill
220,Hirono,Mazie,HI,Democrat,sen,F,11/3/1947,Asian - Japanese,Won,1303955.0,74923.0,jahimes
