,lastName,firstName,state,party,chamber,gender,birthday,raceEthnicity,pre2018incumbent,citizenPopulation,medianHouseholdIncome,TweetCongress,reliability,tweets
44,Brindisi,Anthony,NY,-1,-0.5,-0.5,15339,1.0,-1.0,691840.0,52967.0,repbrindisi,0.8855421686746988,370.0
45,Brooks,Susan,IN,1,-0.5,0.5,22002,1.0,1.0,727335.0,67461.0,susanwbrooks,0.8860103626943006,215.0
46,Brooks,Mo,AL,1,-0.5,-0.5,24312,1.0,1.0,686530.0,51690.0,repmobrooks,0.7768595041322314,148.0
47,Brown,Anthony,MD,-1,-0.5,-0.5,21549,-0.5,1.0,657310.0,79350.0,sensherrodbrown,0.6770833333333333,254.0
48,Brown,Sherrod,OH,-1,0.5,-0.5,24848,1.0,1.0,11348025.0,52407.0,repanthonybrown,0.0,0.0
49,Brownley,Julia,CA,-1,-0.5,0.5,24921,1.0,1.0,625225.0,76914.0,repbrownley,0.8391608391608392,332.0
50,Buchanan,Vern,FL,1,-0.5,-0.5,25399,1.0,1.0,707850.0,55447.0,vernbuchanan,0.8344370860927153,176.0
51,Buck,Ken,CO,1,-0.5,-0.5,22558,1.0,1.0,725970.0,67878.0,repkenbuck,0.7352941176470589,86.0
52,Bucshon,Larry,IN,1,-0.5,-0.5,21358,1.0,1.0,713350.0,50261.0,replarrybucshon,0.768,154.0
53,Budd,Ted,NC,1,-0.5,-0.5,17928,1.0,1.0,716695.0,47440.0,reptedbudd,0.7650602409638554,205.0
54,Burchett,Tim,TN,1,-0.5,-0.5,20541,1.0,0.33,708115.0,50701.0,reptimburchett,0.8867924528301887,118.0
55,Burgess,Michael,TX,1,-0.5,-0.5,25535,1.0,1.0,739340.0,87272.0,michaelcburgess,0.8566978193146417,367.0
56,Burr,Richard,NC,1,0.5,-0.5,23732,1.0,-0.33,9445115.0,50320.0,senatorburr,0.9454545454545454,58.0
57,Bustos,Cheri,IL,-1,-0.5,0.5,21584,1.0,1.0,677305.0,45360.0,repcheri,0.903954802259887,388.0
58,Butterfield,George,NC,-1,-0.5,-0.5,26871,-0.5,1.0,707355.0,40895.0,gkbutterfield,0.8428571428571429,162.0
59,Byrne,Bradley,AL,1,-0.5,-0.5,24019,1.0,1.0,688770.0,47083.0,repbyrne,0.8642857142857143,159.0
60,Calvert,Ken,CA,1,-0.5,-0.5,24637,1.0,1.0,693480.0,76504.0,kencalvert,0.8348623853211009,381.0
61,Cantwell,Maria,WA,-1,0.5,0.5,22684,1.0,1.0,6564110.0,66174.0,senatorcantwell,0.7382198952879582,241.0
62,Capito,Shelley,WV,1,0.5,0.5,24466,1.0,-0.33,1831855.0,44061.0,sencapito,0.9065420560747663,234.0
63,Carbajal,Salud,CA,-1,-0.5,-0.5,20456,0.0,1.0,644190.0,68929.0,repcarbajal,0.8627450980392157,406.0
64,Cardenas,Tony,CA,-1,-0.5,-0.5,21054,0.0,1.0,545910.0,50655.0,repcardenas,0.7870036101083032,336.0
65,Cardin,Benjamin,MD,-1,0.5,-0.5,28171,1.0,1.0,5517145.0,78916.0,senatorcardin,0.7566371681415929,281.0
66,Carper,Thomas,DE,-1,0.5,-0.5,26965,1.0,1.0,890715.0,63036.0,senatorcarper,0.7794561933534743,404.0
67,Carson,Andr'e,IN,-1,-0.5,-0.5,16837,-0.5,1.0,696285.0,41429.0,repandrecarson,0.8218390804597702,205.0
68,Carter,John,TX,1,-0.5,-0.5,28869,1.0,1.0,739530.0,69228.0,repbuddycarter,0.8968253968253969,139.0
69,Carter,Buddy,GA,1,-0.5,-0.5,23086,1.0,1.0,701405.0,50931.0,judgecarter,0.9135802469135803,176.0
70,Cartwright,Matthew,PA,-1,-0.5,-0.5,21753,1.0,1.0,676877.0,0.0,repcartwright,0.8571428571428572,344.0
71,Case,Ed,HI,-1,-0.5,-0.5,24891,1.0,0.33,639210.0,78180.0,repedcase,0.8950617283950617,179.0
72,Casey,Robert,PA,-1,0.5,-0.5,22136,1.0,1.0,12390675.0,56951.0,senbobcasey,0.727891156462585,374.0
73,Cassidy,Bill,LA,1,0.5,-0.5,23064,1.0,-0.33,4535710.0,46710.0,senbillcassidy,0.7654867256637168,279.0
74,Casten,Sean,IL,-1,-0.5,-0.5,17895,1.0,-1.0,682045.0,97387.0,repcasten,0.8060344827586207,277.0
75,Castor,Kathy,FL,-1,-0.5,0.5,19816,1.0,1.0,668930.0,51410.0,usrepkcastor,0.8252788104089219,316.0
76,Castro,Joaquin,TX,-1,-0.5,-0.5,16867,0.0,1.0,690435.0,49421.0,joaquincastrotx,0.8,138.0
77,Chabot,Steve,OH,1,-0.5,-0.5,24774,1.0,1.0,707665.0,55712.0,repstevechabot,0.8072289156626506,297.0
78,Cheney,Liz,WY,1,-0.5,0.5,19839,1.0,1.0,570345.0,59882.0,replizcheney,0.7681159420289855,85.0
79,Chu,Judy,CA,-1,-0.5,0.5,24608,-1.0,1.0,614295.0,71223.0,repjudychu,0.5953488372093023,302.0
80,Cicilline,David,RI,-1,-0.5,-0.5,21678,1.0,1.0,486140.0,56547.0,davidcicilline,0.6434108527131783,175.0
81,Cisneros,Gilbert,CA,-1,-0.5,-0.5,18179,0.0,0.33,627415.0,85188.0,repgilcisneros,0.8598130841121495,366.0
82,Clark,Katherine,MA,-1,-0.5,0.5,20946,1.0,1.0,663390.0,92268.0,repkclark,0.6808510638297872,248.0
83,Clarke,Yvette,NY,-1,-0.5,0.5,20453,-0.5,1.0,627210.0,54895.0,repyvetteclarke,0.8413461538461539,241.0
84,Clay,Lacy,MO,-1,-0.5,-0.5,23492,-0.5,1.0,714610.0,45172.0,lacyclaymo1,0.49275362318840576,104.0
85,Cleaver,Emanuel,MO,-1,-0.5,-0.5,27784,-0.5,1.0,733140.0,48693.0,repcleaver,0.8111888111888113,340.0
86,Cline,Ben,VA,1,-0.5,-0.5,17797,1.0,0.33,719490.0,50061.0,repbencline,0.8211920529801324,178.0
87,Cloud,Michael,TX,1,-0.5,-0.5,16628,1.0,1.0,687705.0,53047.0,repcloudtx,0.9285714285714286,45.0
88,Clyburn,James,SC,-1,-0.5,-0.5,29342,-0.5,1.0,649245.0,35296.0,whipclyburn,0.7429577464788732,357.0
89,Cohen,Steve,TN,-1,-0.5,-0.5,26113,1.0,1.0,677410.0,39761.0,repcohen,0.48920863309352514,210.0
90,Cole,Tom,OK,1,-0.5,-0.5,26139,0.5,1.0,760270.0,55183.0,tomcoleok04,0.89,222.0
91,Collins,Doug,GA,1,-0.5,-0.5,19820,1.0,1.0,675575.0,50154.0,repdougcollins,0.8306451612903226,145.0
92,Collins,Susan,ME,1,0.5,0.5,24820,1.0,-0.33,1308385.0,53024.0,senatorcollins,0.9378378378378378,393.0
93,Collins,Chris,NY,1,-0.5,-0.5,25752,1.0,1.0,709535.0,62698.0,repchriscollins,0.0,0.0
94,Conaway,K.,TX,1,-0.5,-0.5,26460,1.0,1.0,701785.0,50602.0,conawaytx11,0.8333333333333334,28.0
95,Connolly,Gerald,VA,-1,-0.5,-0.5,25803,1.0,1.0,665415.0,106554.0,gerryconnolly,0.8044692737430168,214.0
96,Cook,Paul,CA,1,-0.5,-0.5,28387,1.0,1.0,667670.0,49194.0,reppaulcook,0.84,29.0
97,Coons,Chris,DE,-1,0.5,-0.5,20892,1.0,-0.33,890715.0,63036.0,chriscoons,0.7025862068965517,301.0
98,Cooper,Jim,TN,-1,-0.5,-0.5,24261,1.0,1.0,691450.0,54470.0,repjimcooper,0.7442922374429224,275.0
99,Cornyn,John,TX,1,0.5,-0.5,25129,1.0,-0.33,24051900.0,57051.0,johncornyn,0.676923076923077,86.0
100,Correa,Lou,CA,-1,-0.5,-0.5,22946,0.0,1.0,541120.0,61304.0,reploucorrea,0.8356164383561644,85.0
101,Cortez Masto,Catherine,NV,-1,0.5,0.5,20690,0.0,-0.33,2547140.0,55434.0,sencortezmasto,0.817910447761194,396.0
102,Costa,Jim,CA,-1,-0.5,-0.5,25058,1.0,1.0,602655.0,40207.0,repjimcosta,0.7531645569620253,197.0
103,Cotton,Tom,AR,1,0.5,-0.5,15897,1.0,-0.33,2874015.0,43813.0,sentomcotton,0.4779874213836478,242.0
104,Courtney,Joe,CT,-1,-0.5,-0.5,24700,1.0,1.0,687725.0,74784.0,repjoecourtney,0.8771929824561403,256.0
105,Cox,TJ,CA,-1,-0.5,-0.5,20945,-1.0,-1.0,557185.0,41174.0,reptjcox,0.8674698795180723,376.0
106,Craig,Angie,MN,-1,-0.5,0.5,17812,1.0,-1.0,662655.0,80128.0,repangiecraig,0.9074733096085409,307.0
107,Cramer,Kevin,ND,1,0.5,-0.5,21853,1.0,-1.0,721470.0,61285.0,senkevincramer,0.75,145.0
108,Crapo,Michael,ID,1,0.5,-0.5,25387,1.0,-0.33,1574200.0,50985.0,mikecrapo,0.8808290155440415,216.0
109,Crawford,Eric,AR,1,-0.5,-0.5,20026,1.0,1.0,716435.0,40492.0,reprickcrawford,0.7160493827160495,208.0
110,Crenshaw,Dan,TX,1,-0.5,-0.5,13400,1.0,0.33,662645.0,72711.0,repdancrenshaw,0.6821705426356589,170.0
111,Crist,Charlie,FL,-1,-0.5,-0.5,23495,1.0,1.0,675410.0,48519.0,repcharliecrist,0.8347457627118644,275.0
112,Crow,Jason,CO,-1,-0.5,-0.5,15226,1.0,-1.0,712650.0,76451.0,repjasoncrow,0.8837209302325582,240.0
113,Cruz,Ted,TX,1,0.5,-0.5,18231,0.0,1.0,24051900.0,57051.0,sentedcruz,0.75,60.0
114,Cuellar,Henry,TX,-1,-0.5,-0.5,23804,0.0,1.0,624435.0,44021.0,repcuellar,0.8846153846153846,261.0
115,Cummings,Elijah,MD,-1,-0.5,-0.5,25509,-0.5,1.0,690000.0,61392.0,repcummings,0.6585365853658536,110.0
116,Cunningham,Joe,SC,-1,-0.5,-0.5,14058,1.0,-1.0,707525.0,64973.0,repcunningham,0.9,209.0
117,Curtis,John,UT,1,-0.5,-0.5,22109,1.0,1.0,701610.0,70763.0,repjohncurtis,0.8280000000000001,293.0
118,Daines,Steve,MT,1,0.5,-0.5,21277,1.0,-0.33,1013805.0,50801.0,stevedaines,0.7946428571428572,135.0
119,Davids,Sharice,KS,-1,-0.5,0.5,14792,0.5,-1.0,699810.0,71562.0,repdavids,0.912,272.0
120,Davidson,Warren,OH,1,-0.5,-0.5,18527,1.0,1.0,710460.0,58213.0,warrendavidson,0.846938775510204,113.0
121,Davis,Rodney,IL,1,-0.5,-0.5,18582,1.0,1.0,687140.0,49758.0,repdannydavis,0.7133333333333334,193.0
122,Davis,Danny,IL,-1,-0.5,-0.5,28930,-0.5,1.0,671275.0,54147.0,repsusandavis,0.711111111111111,116.0
123,Davis,Susan,CA,-1,-0.5,0.5,27980,1.0,1.0,675895.0,69314.0,rodneydavis,0.8424242424242424,191.0
124,DeFazio,Peter,OR,-1,-0.5,-0.5,26841,1.0,1.0,754075.0,46749.0,reppeterdefazio,0.8223684210526316,179.0
125,DeGette,Diana,CO,-1,-0.5,0.5,23125,1.0,1.0,712165.0,62718.0,repdianadegette,0.7285714285714286,267.0
126,DeLauro,Rosa,CT,-1,-0.5,0.5,28388,1.0,1.0,670070.0,67774.0,rosadelauro,0.8,312.0
127,DeSaulnier,Mark,CA,-1,-0.5,-0.5,25071,1.0,1.0,644735.0,86000.0,repdesaulnier,0.8333333333333334,308.0
128,Dean,Madeleine,PA,-1,-0.5,0.5,22448,1.0,0.33,689979.0,0.0,repdean,0.8358974358974359,227.0
129,DelBene,Suzan,WA,-1,-0.5,0.5,21461,1.0,1.0,655545.0,91018.0,repdelbene,0.8907563025210083,528.0
130,Delgado,Antonio,NY,-1,-0.5,-0.5,16002,-0.5,-1.0,687730.0,59619.0,repdelgado,0.9633802816901409,368.0
131,Demings,Val,FL,-1,-0.5,0.5,23264,-0.5,1.0,674450.0,50151.0,repvaldemings,0.6198830409356726,236.0
132,DesJarlais,Scott,TN,1,-0.5,-0.5,20727,1.0,1.0,722810.0,50598.0,desjarlaistn04,0.6542056074766355,144.0
133,Deutch,Theodore,FL,-1,-0.5,-0.5,19921,1.0,1.0,645025.0,60159.0,repteddeutch,0.6733333333333333,398.0
134,Diaz-Balart,Mario,FL,1,-0.5,-0.5,21606,0.0,1.0,546765.0,46247.0,mariodb,0.8842105263157894,212.0
135,Dingell,Debbie,MI,-1,-0.5,0.5,24469,1.0,1.0,667170.0,55506.0,repdebdingell,0.7913669064748201,336.0
136,Doggett,Lloyd,TX,-1,-0.5,-0.5,27074,1.0,1.0,684075.0,48490.0,replloyddoggett,0.7038834951456311,267.0
137,Doyle,Michael,PA,-1,-0.5,-0.5,24579,1.0,1.0,680872.0,0.0,usrepmikedoyle,0.8582278481012658,451.0
138,Duckworth,Tammy,IL,-1,0.5,0.5,19246,-1.0,-0.33,11928165.0,61229.0,senduckworth,0.725,306.0
139,Duffy,Sean,WI,1,-0.5,-0.5,17946,1.0,1.0,701860.0,51738.0,repseanduffy,0.0,0.0
140,Duncan,Jeff,SC,1,-0.5,-0.5,20041,1.0,1.0,656220.0,45042.0,repjeffduncan,0.8333333333333334,182.0
141,Dunn,Neal,FL,1,-0.5,-0.5,24749,1.0,1.0,691555.0,46062.0,drnealdunnfl2,0.923728813559322,127.0
142,Durbin,Richard,IL,-1,0.5,-0.5,27758,1.0,-0.33,11928165.0,61229.0,senatordurbin,0.7451612903225807,389.0
143,Emmer,Tom,MN,1,-0.5,-0.5,21812,1.0,1.0,674150.0,77049.0,reptomemmer,0.9381443298969072,206.0
144,Engel,Eliot,NY,-1,-0.5,-0.5,26939,1.0,1.0,645505.0,69086.0,repeliotengel,0.8229166666666666,226.0
145,Enzi,Michael,WY,1,0.5,-0.5,28052,1.0,-0.33,570345.0,60938.0,senatorenzi,0.76,93.0
146,Ernst,Joni,IA,1,0.5,0.5,18405,1.0,-0.33,3012095.0,56570.0,senjoniernst,0.8970588235294118,300.0
147,Escobar,Veronica,TX,-1,-0.5,0.5,18694,0.0,0.33,632990.0,44045.0,repescobar,0.4576271186440678,364.0
148,Eshoo,Anna,CA,-1,-0.5,0.5,28467,1.0,1.0,629140.0,125790.0,repannaeshoo,0.8827160493827161,181.0
149,Espaillat,Adriano,NY,-1,-0.5,-0.5,24161,0.0,1.0,620380.0,41103.0,repespaillat,0.7762557077625571,268.0
150,Estes,Ron,KS,1,-0.5,-0.5,23500,1.0,1.0,693660.0,52054.0,repronestes,0.8620689655172413,165.0
151,Evans,Dwight,PA,-1,-0.5,-0.5,24295,-0.5,1.0,684381.0,0.0,repdwightevans,0.6746987951807228,220.0
152,Feinstein,Dianne,CA,-1,0.5,0.5,31928,1.0,1.0,33355855.0,67169.0,senfeinstein,0.7477064220183487,273.0
153,Ferguson,Drew,GA,1,-0.5,-0.5,19364,1.0,1.0,694610.0,56240.0,repdrewferguson,0.8135593220338984,70.0
154,Finkenauer,Abby,IA,-1,-0.5,0.5,11651,1.0,-1.0,753345.0,57402.0,repfinkenauer,0.892018779342723,236.0
155,Fischer,Deb,NE,1,0.5,0.5,25467,1.0,1.0,1799310.0,56675.0,senatorfischer,0.9523809523809523,176.0
156,Fitzpatrick,Brian,PA,1,-0.5,-0.5,17140,1.0,1.0,683529.0,0.0,repbrianfitz,0.8556701030927836,222.0
157,Fleischmann,Charles,TN,1,-0.5,-0.5,21225,1.0,1.0,705280.0,43938.0,repchuck,0.8958333333333334,106.0
158,Fletcher,Lizzie,TX,-1,-0.5,0.5,16717,1.0,-1.0,618360.0,71183.0,repfletcher,0.8613861386138614,230.0
159,Flores,Bill,TX,1,-0.5,-0.5,24375,0.0,1.0,679545.0,50888.0,repbillflores,0.7216494845360825,124.0
160,Fortenberry,Jeff,NE,1,-0.5,-0.5,21878,1.0,1.0,605570.0,58537.0,jefffortenberry,0.8703703703703703,183.0
161,Foster,Bill,IL,-1,-0.5,-0.5,23786,1.0,1.0,647495.0,72198.0,repbillfoster,0.7050147492625369,439.0
162,Foxx,Virginia,NC,1,-0.5,0.5,28269,1.0,1.0,713940.0,45001.0,virginiafoxx,0.8275862068965517,238.0
163,Frankel,Lois,FL,-1,-0.5,0.5,26486,1.0,1.0,645385.0,55864.0,reploisfrankel,0.8351063829787234,438.0
164,Fudge,Marcia,OH,-1,-0.5,0.5,24859,-0.5,1.0,683215.0,35735.0,repmarciafudge,0.864406779661017,335.0
165,Fulcher,Russ,ID,1,-0.5,-0.5,21441,1.0,0.33,811550.0,52199.0,reprussfulcher,0.9176470588235294,92.0
166,Gabbard,Tulsi,HI,-1,-0.5,0.5,14467,-1.0,1.0,664745.0,70867.0,tulsipress,0.8373493975903614,193.0
167,Gaetz,Matt,FL,1,-0.5,-0.5,14077,1.0,1.0,725045.0,53006.0,repmattgaetz,0.5957446808510638,66.0
168,Gallagher,Mike,WI,1,-0.5,-0.5,13411,1.0,1.0,707485.0,57888.0,repgallagher,0.8871794871794871,217.0
169,Gallego,Ruben,AZ,-1,-0.5,-0.5,14976,0.0,1.0,615185.0,40991.0,reprubengallego,0.7340425531914894,238.0
170,Garamendi,John,CA,-1,-0.5,-0.5,27694,1.0,1.0,652310.0,61508.0,repgaramendi,0.8,186.0
171,Garcia,Jesus,IL,-1,-0.5,-0.5,23598,0.0,0.33,544910.0,51383.0,repchuygarcia,0.8080808080808081,236.0
172,Garcia,Sylvia,TX,-1,-0.5,0.5,25643,0.0,0.33,552055.0,41737.0,repsylviagarcia,0.847107438016529,279.0
173,Gardner,Cory,CO,1,0.5,-0.5,16892,1.0,-0.33,5041535.0,65458.0,sencorygardner,0.8785310734463276,397.0
174,Gibbs,Bob,OH,1,-0.5,-0.5,24266,1.0,1.0,717965.0,53374.0,repbobgibbs,0.7462686567164178,84.0
175,Gillibrand,Kirsten,NY,-1,0.5,0.5,19705,1.0,1.0,17677055.0,62765.0,gillibrand,0.17647058823529416,62.0
176,Gohmert,Louie,TX,1,-0.5,-0.5,24566,1.0,1.0,672585.0,45313.0,replouiegohmert,0.8666666666666667,153.0
177,Golden,Jared,ME,-1,-0.5,-0.5,13998,1.0,-1.0,648170.0,46638.0,repgolden,0.8395061728395061,188.0
178,Gomez,Jimmy,CA,-1,-0.5,-0.5,16797,0.0,1.0,506520.0,40847.0,repjimmygomez,0.9240196078431373,439.0
179,Gonzalez,Anthony,OH,1,-0.5,-0.5,13212,0.0,0.33,709785.0,64197.0,repagonzalez,0.9444444444444444,171.0
180,Gonzalez,Vicente,TX,-1,-0.5,-0.5,19436,0.0,1.0,629555.0,41947.0,repjenniffer,0.0,0.0
181,Gonzalez-Colon,Jenniffer,PR,1,-0.5,0.5,16178,0.0,1.0,0.0,0.0,repgonzalez,0.8648648648648649,252.0
182,Gooden,Lance,TX,1,-0.5,-0.5,13869,1.0,0.33,655200.0,50536.0,replancegooden,0.0,0.0
183,Gosar,Paul,AZ,1,-0.5,-0.5,22644,1.0,1.0,702085.0,49466.0,repgosar,0.8653846153846154,59.0
184,Gottheimer,Josh,NJ,-1,-0.5,-0.5,16694,1.0,1.0,691180.0,100219.0,repjoshg,0.8969957081545065,257.0
185,Graham,Lindsey,SC,1,0.5,-0.5,23876,1.0,-0.33,4694715.0,48781.0,lindseygrahamsc,0.6074766355140186,149.0
186,Granger,Kay,TX,1,-0.5,0.5,28431,1.0,1.0,710775.0,62214.0,repkaygranger,0.9276018099547512,237.0
187,Grassley,Charles,IA,1,0.5,-0.5,31841,1.0,-0.33,3012095.0,56570.0,chuckgrassley,0.7716049382716049,199.0
188,Graves,Sam,MO,1,-0.5,-0.5,20833,1.0,1.0,749380.0,58532.0,repsamgraves,0.8351648351648351,106.0
189,Graves,Garret,LA,1,-0.5,-0.5,17826,1.0,1.0,766160.0,59270.0,repgarretgraves,0.890625,71.0
190,Graves,Tom,GA,1,-0.5,-0.5,18553,1.0,1.0,667195.0,48691.0,reptomgraves,0.7875,97.0
191,Green,Mark,TN,1,-0.5,-0.5,20466,1.0,0.33,727575.0,53276.0,repmarkgreen,0.6339869281045751,209.0
192,Green,Al,TX,-1,-0.5,-0.5,26744,-0.5,1.0,599815.0,46048.0,repalgreen,0.7931034482758621,70.0
193,Griffith,H.,VA,1,-0.5,-0.5,22896,1.0,1.0,705650.0,41698.0,repmgriffith,0.0,0.0
194,Grijalva,Ra'ul,AZ,-1,-0.5,-0.5,26573,0.0,1.0,648715.0,44224.0,repraulgrijalva,0.7816901408450704,346.0
195,Grothman,Glenn,WI,1,-0.5,-0.5,23882,1.0,1.0,698950.0,57129.0,repgrothman,0.8661417322834646,144.0
196,Guest,Michael,MS,1,-0.5,-0.5,18552,1.0,0.33,737350.0,45115.0,repmichaelguest,0.890625,142.0
197,Guthrie,Brett,KY,1,-0.5,-0.5,20730,1.0,1.0,728320.0,49960.0,repguthrie,0.8928571428571429,124.0
198,Haaland,Debra,NM,-1,-0.5,0.5,21903,0.5,0.33,645865.0,49570.0,repdebhaaland,0.838150289017341,201.0
199,Hagedorn,Jim,MN,1,-0.5,-0.5,21293,1.0,0.33,644245.0,60424.0,rephagedorn,0.94,212.0
200,Harder,Josh,CA,-1,-0.5,-0.5,12530,1.0,-1.0,649130.0,60235.0,repjoshharder,0.8051948051948052,276.0
201,Harris,Andy,MD,1,-0.5,-0.5,23310,1.0,1.0,710770.0,69254.0,repandyharrismd,0.9,88.0
202,Harris,Kamala,CA,-1,0.5,0.5,20485,-0.5,-0.33,33355855.0,67169.0,senkamalaharris,0.7269624573378839,373.0
203,Hartzler,Vicky,MO,1,-0.5,0.5,21953,1.0,1.0,746830.0,48065.0,rephartzler,0.8061224489795918,117.0
204,Hassan,Margaret,NH,-1,0.5,0.5,22912,1.0,-0.33,1291410.0,71305.0,senatorhassan,0.7528735632183908,434.0
205,Hastings,Alcee,FL,-1,-0.5,-0.5,30757,-0.5,1.0,631450.0,43677.0,rephastingsfl,0.919093851132686,334.0
