author,t_id,t_time,covid related?,Reliability Score,Tweet Text
RepDarrenSoto,1303799594892091393,2020-09-09 20:57:01,1,-1,#TrumpKnew #COVID19 was deadly and he tried to cover it up. His failure to lead left our nation unprepared and unaware of the danger posed by the coronavirus. He buried the facts and cost us lives and livelihoods. The American people should be outraged. https://t.co/mPwAZCmOXz
SenatorBraun,1232346204194955264,2020-02-25 16:46:45,1,-1,"On coronavirus, I listened to the Department of Homeland Security, the CDC, the FDA, the NIH, and it looked to me like the US is absolute picture of preparedness right now. It's sad that some are politicizing this, and the public sees through it. @Varneyco @foxbusiness https://t.co/p17uKvAwPq"
SenBobCasey,1280237603955097602,2020-07-06 20:30:05,1,-1,"RT @Covid19WarRoom: “If we don’t change this trajectory, then I am within two weeks of having our hospitals overrun.”  The seven-day averag…"
davidcicilline,1257687297904041984,2020-05-05 15:03:13,1,-1,"Without the ACA, coronavirus would be a preexisting condition that could make millions of Americans uninsurable. #DroptheLawsuit"
SenSchumer,1321452933918138368,2020-10-28 14:05:05,1,-1,"It's October 28th, and President Trump still doesn’t have an adequate national testing strategy."
janschakowsky,1283768934194393093,2020-07-16 14:22:19,1,-1,"Our health care providers must now privately submit their #COVID19 data to political appointees focused on @realDonaldTrump’s brand instead of a trusted, transparent database run by our nation’s public health experts.    What could go wrong? https://t.co/CvUnTtqFeL"
michaelcburgess,1305583714869616641,2020-09-14 19:06:28,1,-1,Dems and GOP worked together on 3 other #COVID19 relief bills. But since May Democrats have held up helping Americans because they refuse to support anything but the HEROES Act. https://t.co/gQwmco2cgJ
SenatorBaldwin,1255508267847081986,2020-04-29 14:44:31,1,-1,RT @ChrisMurphyCT: We're months into this crisis &amp; we still don't have enough PPE for frontline health care workers or a plan for national…
RepVeasey,1306686340549935109,2020-09-17 20:07:55,1,-1,"In the middle of a pandemic, the Trump administration raised the application fee to become a U.S. citizen from $640 to $1,160. In 1995, it was $225. This is extortion and part of the Trump administration’s war on immigrants – regardless of legal status. #Citizenship4All https://t.co/OXPFI2ljho"
RepScottPerry,1253447417246158848,2020-04-23 22:15:26,1,-1,@SpeakerPelosi delayed add'l funding for PPP for over 2 weeks – crippling small businesses and their employees.  We’re back in DC today. What’s the first thing Dems do? Vote to add a NINTH #COVID19 oversight entity bc the existing EIGHT aren’t fulfilling their political wishes.
repblumenauer,1313575329529819142,2020-10-06 20:22:18,1,-1,"Because of Trump’s short-sighted decision, your state and local governments won’t get the relief they need and may need to lay-off first responders and health workers that you rely on."
NydiaVelazquez,1268249410410078211,2020-06-03 18:33:17,1,-1,These stories are abhorrent.   Our #HealthcareHeroes are enduring assault by the police.   These workers already have risked their health responding to #COVID19 for the rest of us - and now they risk attack by the police?   This can't stand.   https://t.co/B3IzG76uQj
PattyMurray,1315770469094629377,2020-10-12 21:45:00,1,-1,Republicans are jamming through their anti-health care SCOTUS nominee to rip away critical protections—like bans on placing annual and lifetime caps on patients' benefits. These protections were essential for Michael to get the care he needed &amp; survive COVID-19. #WhatsAtStake https://t.co/HLmQ77sf3G
SenSherrodBrown,1250454579805896704,2020-04-15 16:02:58,1,-1,President Trump has: - fired the White House pandemic response team 2 years ago - sabotaged our health care system - failed to mobilize U.S. manufacturers to get PPE to our frontline - left dozens of key public health positions unfilled - Tried to cut the CDC and now the WHO
RepMichaelWaltz,1311318914169737216,2020-09-30 14:56:06,1,-1,"When China threatens to withhold ingredients for our pharmaceuticals in the middle of a pandemic, America has to take a hard look at our relationship with China.  Bringing our drug supply chain back to America is bipartisan &amp; quite frankly, a no-brainer. https://t.co/b9sQ8aioy5"
RepValDemings,1288593549139808257,2020-07-29 21:53:37,1,-1,We passed critical #covid relief over nine weeks ago. The GOP has been blocking it this whole time. Let’s be clear: the current crisis is one that they chose to inflict on us. But that could change today: please urge the Senate GOP to stop the politics and pass lifesaving relief.
SenJohnBarrasso,1248256377589501957,2020-04-09 14:28:06,1,-1,".@SpeakerPelosi is once again playing politics with much-needed #coronavirus legislation by holding up help for small businesses. We need to pass more targeted, temporary aid to help get people back to work &amp; our nation through the #coronavirus crisis. https://t.co/dajIcJ1fZx"
RepTedYoho,1243336182219657219,2020-03-27 0:37:00,1,-1,Thank you @RepMcCaul for championing this effort.  The world deserves to know what #China did and refused to do as #COVIDー19 spread within their country and across the globe.  @HouseForeignGOP https://t.co/Dglqyg5DGI
RepMarkGreen,1308815883951919111,2020-09-23 17:09:58,1,-1,"As a physician, I know the science is definitive. The @CDCgov has stressed the importance of children returning to school.   In today's @SelectGOP hearing, I asked @FederalReserve Chairman Jerome Powell about the economic impact of school closures: https://t.co/WvSzO5yLXw"
RepRickCrawford,1286349290944770048,2020-07-23 17:15:44,1,-1,".@FBI Director Wray has stated they open one new counterintelligence case against #China every ten hours. Of the nearly 5k active cases, many of them relate to our colleges/universities (5/x): https://t.co/LfwdCw6qUH"
RepAndyBiggsAZ,1306053935053012992,2020-09-16 2:14:58,1,-1,90% of Arizona’s COVID-19 reported positive PCR results could be non-infectious/false positives if our cycle threshold (sensitivity) is anything like other states.  Arizonans deserve the truth &amp; full transparency about these tests &amp; results. We need to know the cycle threshold. https://t.co/r0xihISZrF
RepDebDingell,1252696705931378690,2020-04-21 20:32:23,0,0,My weekly telephone town hall will be tomorrow at 5:30pm. It is important to be available and is why I do a weekly telephone town hall. Joining me will be Dr. Kimberlydawn Wisdom from Henry Ford Health System. Sign up below if you'd like to join. https://t.co/XKtE3iaJgz
WhipClyburn,1260300100334768138,2020-05-12 20:05:33,0,0,"RT @COVIDOversight: Tomorrow, May 13, at 3PM ET, Chair @WhipClyburn  will open the Subcommittee's FIRST, entirely virtual, briefing with a…"
RepNewhouse,1257718809361866758,2020-05-05 17:08:26,0,0,"The public meeting I had planned to get feedback from local community members has been postponed due to the coronavirus outbreak, but I will continue to urge Congress to pass this important legislation and take steps to end the MMIW crisis.  #MMIW #MMIWActionNow #EndMMIW"
RepDelBene,1285617018289496066,2020-07-21 16:45:57,0,0,RT if you agree: Reducing child poverty shouldn’t be partisan.     Increasing the Child Tax Credit is a MUST in the next relief bill to help families in need weather this pandemic &amp; lift children out of poverty. https://t.co/uRD7WNTk8C
senrobportman,1312534784124485632,2020-10-03 23:27:32,0,0,These figures are heartbreaking &amp; illustrate why I’ve been calling for more resources to combat addiction.   One way to combat this scourge is making access to telehealth services permanent for those struggling with addiction. https://t.co/Zl0ZzDSVkK
RepJackBergman,954545647448985600,2018-01-20 2:46:31,0,0,"RT @HouseGOP: .@SenSchumer, are you willing to shut the government down, strip health care from 9 million children, and turn your back on t…"
RepJohnKatko,987424804759310339,2018-04-20 20:16:33,0,0,"Proud to work with @graceanapolitano and the Mental Health Caucus to #StopSuicide. We must ALL work together to share hope. If you or someone you know needs help, call the National Suicide Prevention Lifeline at 1-800-273-8255. Your life is worth living. https://t.co/3ebBrCQ8eb https://t.co/TKjwa53Afe"
TomColeOK04,974388255943790592,2018-03-15 20:53:58,0,0,"Today, I had the opportunity to listen to Secretary of Health and Human Services @SecAzar proposal for his agency’s budget for fiscal year 2019 during the Labor, HHS appropriations hearing. It was great to meet him beforehand and I look forward to working with him this year. https://t.co/G5Hw2na7LT"
NydiaVelazquez,1301196894987849728,2020-09-02 16:34:49,0,0,"RT @NYCHealthSystem: As the #YearOfTheNurse continues, we give a shoutout to all of our nurses system-wide who have displayed such amazing…"
RepSpanberger,1251510795298648070,2020-04-18 14:00:00,0,0,"Just under a week left to submit to the congressional art contest! Open to #VA07 high school students, the contest is running digitally this year due to the ongoing #CoronavirusPandemic. Visit https://t.co/njH7R9kD81 for details. https://t.co/CYNhaObSgr"
RepJuanVargas,1172571538110988288,2019-09-13 18:03:34,0,0,"Gender-based violence drives up health care costs, contributes to crime, and causes lasting harm to families &amp; communities. It must stop. We’re all counting on the Senate to take up the House-passed VAWA HR1585! #VAWA4ALL https://t.co/nP8eWn7Zpq"
MartinHeinrich,1206706804081790977,2019-12-16 22:44:56,0,0,RT @fightthe40: Thank you @MartinHeinrich for your leadership in repealing the 40%  #CadillacTax and fighting to keep #healthcare affordabl…
SenBobCasey,1309966898407313408,2020-09-26 21:23:41,0,0,"President Trump is more concerned with his own election than protecting Americans from the deadly virus or creating millions of good paying jobs for the almost 750,000 out of work in our Commonwealth."
SenAngusKing,1260211435327627264,2020-05-12 14:13:14,0,0,RT @JRosenworcel: To expand the power of telehealth in the future we need to extend the reach of our broadband connections now. Amen to the…
RepJoshHarder,1263235553488596993,2020-05-20 22:30:00,0,0,"AMAZING turnout today to celebrate George Whitworth’s 95th birthday! Since the pandemic is keeping us all apart, we brought the (social distanced) party to him! https://t.co/xX2a5wpLhm"
BettyMcCollum04,1304800434486259713,2020-09-12 15:14:00,0,0,Human exploitation of the natural world has led to decimated wildlife populations &amp; a broken barrier with nature that has helped trigger the global pandemic &amp; extreme weather events like the CA wildfires. Profound &amp; sobering report: https://t.co/ZJcSuNfhkt https://t.co/v6v61Ib75B
repdonyoung,1010623528855535616,2018-06-23 20:40:00,0,0,Combatting the #OpioidCrisis is something this Congress is actively working on and I’m proud to support this important work. I supported #HR6 this week which prioritizes ending this epidemic.  Read more about this legislative package here: https://t.co/Z30wb2OCQg https://t.co/pv2NKg0QR8
RepBillJohnson,1179936325589504000,2019-10-04 1:48:36,0,0,"New Fisher House groundbreaking today at the Woody Williams VAMC in Huntington. @FisherHouseFdtn builds comfort homes where military &amp; veterans families can stay free of charge, while a loved one is in the hospital. https://t.co/sGsupsqKxf"
DorisMatsui,1129108995787116544,2019-05-16 19:38:57,0,0,"As a nation that values our freedom and liberty, I am heartbroken that the state of Alabama has overstepped a woman’s constitutional right to reproductive care by effectively ending access to vital health services. [1/3]"
RepUnderwood,1290749722853101573,2020-08-04 20:41:29,0,0,"In 2016, the personal information of 76,000 Illinois voters was accessed by Russian operatives. As we approach November, securing our elections is more important than ever. On top of preexisting threats, #COVID19 presents new challenges for how, when, and where people vote. https://t.co/ALmXvV3ddJ"
RepGusBilirakis,1068216620466753543,2018-11-29 18:54:23,0,0,"I was happy to vote for final passage of the Action for Dental Health Act of 2018, which I co-sponsored. This important bill improves oral health education and dental disease prevention while reducing the use of the emergency room to treat dental pain. https://t.co/2GONO3qimT"
SenCoryGardner,1232418953877696515,2020-02-25 21:35:50,0,0,China’s efforts to exclude Taiwan from @WHO emergency response briefings are unwarranted and inexcusable. I urged @WHO Director-General Tedros to allow Taiwan to attend all meetings related to the containment of the coronavirus as the deadly virus continued to spread. https://t.co/cfezxomVhd
RepAdamSmith,1243272199923957760,2020-03-26 20:22:45,0,0,Suspension of assistance during this pandemic would risk response in a country where at least half of its healthcare is offline due to fighting. We urge the admin not to reprogram funding for Yemen assistance. We must make sure our partners can reach vulnerable populations. https://t.co/zkHFexSrNQ
RepCarbajal,1235987603863764992,2020-03-06 17:56:22,0,0,"Earlier this month, I hosted a #Census town hall with Secretary @alexpadilla4ca because #Census2020 is coming!  An accurate census count secures funding for hospitals, roads, schools, firefighters and more. Keep an eye out for the Census in your mailbox so you can #BeCounted. https://t.co/8Nu2TJ3LGp"
RepTjCox,1251269299991347201,2020-04-17 22:00:23,0,0,".@californiapuc just voted in favor of @TMobile-@Sprint merger. Their investment in #5G will be a game-changer for telehealth, getting the rural Central Valley high quality care without having to leave the house.   https://t.co/KCmLwZZWmH"
congbillposey,5839091998,2009-11-18 22:18:37,0,0,"RT @mkhammer RT @PoliticalTicker: ""Senate health care bill price tag: $849 billion, CBO says "" - http://bit.ly/1vOoie"
repdonyoung,1293297038721978369,2020-08-11 21:23:36,0,0,"Housing not only brings improved health outcomes, but it also increases upward mobility and economic certainty."
RepLoisFrankel,1306966020763127808,2020-09-18 14:39:16,0,0,"Now more than ever we must keep older Americans safe, which is why I introduced #HealthyAging bill to establish the research, resources, &amp; collaboration needed at the federal level to ensure we are doing everything possible to keep seniors healthy during this crisis."
RepDerekKilmer,1315012136247189504,2020-10-10 19:31:39,0,0,On #WorldMentalHealthDay it’s important to talk about the challenges folks are facing during these unprecedented times - and the resources available so people can get help. I spoke to @NAMIWashington yesterday about how folks can seek assistance https://t.co/osGBS47Fvg
RepKathleenRice,1270520063238561792,2020-06-10 0:56:02,0,0,This is not at all surprising. The President’s continued promotion of an antifa conspiracy theory is flat out false. And it’s outrageous that Barr is going along with it when he knows it’s a lie. https://t.co/fMAftMMAbG
RepMcGovern,1263917502826008578,2020-05-22 19:39:49,0,0,"There is no doubt that what we eat plays a huge role in our overall health, yet our federal policies are decades behind the science on this.    My colleagues and I are introducing a new bipartisan bill to change that. https://t.co/M8uU1ELpSz"
chelliepingree,1278338650015662080,2020-07-01 14:44:19,0,0,"Before #COVID19, our clean energy sector was among the fastest growing in the United States.   It can be again, but Congress must make a down payment on our planet’s future to kick start the economy. 🌍   We need a #greenstimulus investment NOW! https://t.co/p5emAfBv9s"
RepMullin,1151850123716104192,2019-07-18 13:44:04,0,0,"We are making progress in combating the opioid epidemic. Even one overdose is too many, but this shows we are moving in the right direction.    https://t.co/D8TJXg8A8U"
RepTerriSewell,1224863126853685248,2020-02-05 1:11:40,0,0,"So, I challenge the President tonight not to make empty promises. Work across the aisle to achieve real, positive change – to make health care more affordable and accessible, bring more opportunities to rural and underserved communities and unify the American people. #SOTU2020"
RepAOC,1252344120309239808,2020-04-20 21:11:20,0,0,"The State launched a new online form to make it easier to apply for unemployment. Previously, NYers had to apply for regular unemployment insurance, and be rejected, before applying for pandemic unemployment. Now you can simply fill out one form: https://t.co/YhFF4c2yoJ"
RepCasten,1295850667773513729,2020-08-18 22:30:49,0,0,Did you know that *80%* of veterans receive their medications by mail?   We must fight to protect these critical prescription deliveries for the health and well being of our nation’s veterans.   #DontMessWithUSPS   https://t.co/sBvgEMZGBx.
RepJayapal,1312467200209350657,2020-10-03 18:58:59,0,0,@BeaDeeH Dawww beautiful!! Thanks for sharing. You two stay healthy! 10/10
RepDelBene,1288575214968811523,2020-07-29 20:40:46,0,0,How many members of Congress in pink masks are too many? The limit does not exist. #OnWednesdaysWeWearPink https://t.co/VllhKRo4vY
SenKamalaHarris,1303876040209698817,2020-09-10 2:00:47,0,0,"Happy 170th birthday to our beloved California, which gained statehood on this day in 1850. Between ongoing wildfires and a global pandemic, there’s no question these are difficult times for our state. Remember that we are in this together. https://t.co/ePOKMEcLfr"
RepMGS,1272970936577376259,2020-06-16 19:14:56,0,0,RT @SpeakerPelosi: The President’s Executive Order falls seriously short of what is required to combat the epidemic of racial injustice &amp; p…
RepGilCisneros,1255560260431106049,2020-04-29 18:11:07,0,0,"Yesterday, @VetAffairsDems held a bipartisan forum where I voiced concerns for our homeless veteran population in Southern California.  They cannot be forgotten. We need to provide them with the necessary care as we continue to help all our communities during the pandemic. https://t.co/l1f0c2kmA5"
RepKenMarchant,352041151978680320,2013-07-02 12:28:45,0,0,.@DCExaminer: Rhode Island health insurance rates to jump under #Obamacare http://t.co/QCK8B5qWqh #BrokenPromises
RepUnderwood,1275831205720621059,2020-06-24 16:40:37,0,0,"The Patient Protection and Affordable Care Enhancement Act delivers on a promise to the people, and for the people: ensuring every one of our fellow citizens has access to quality, affordable health care. #ForthePeople https://t.co/y0wLXf3YNA"
RepJoeNeguse,1235258535807717377,2020-03-04 17:39:19,0,0,"Older Americans have the fundamental right to:  💊High-quality, affordable health care 🛡️Protection against neglect, abandonment and domestic abuse  👵Support for their families and caregivers  ⚕️Access to essential vision, dental and hearing services    #ProtectOlderAmericans"
RodneyDavis,1277737006257373188,2020-06-29 22:53:36,0,0,Legislation that relies on new taxes and government price controls on prescription drugs will not address the skyrocketing costs of health care.   Read my statement on the House Democrats' partisan health care bill here: https://t.co/YYhlySxs16 https://t.co/Up5u1nEgmF
RepDianaDeGette,1.18704E+18,2019-10-23 16:31:27,0,0,CMS Admin Seema Verma refuses to say how many Americans will lose their healthcare coverage if the Trump admin is successful in its efforts to strike down the ACA.   The answer: 21 MILLION! https://t.co/VV2bn7Arfu
RepLipinski,1199006224567676928,2019-11-25 16:45:35,0,0,Thank you to all of the #PublicHealth professionals in #IL03 and across the country who dedicate their lives to protect the health of all Americans #PHTYD
SenBrianSchatz,770681655392604160,2016-08-30 17:56:39,0,0,.@POTUS is right. Congress needs to take action to address the threat of the #ZikaVirus. https://t.co/GmSITNSXT5 #Zika
SenAngusKing,1233787396522729474,2020-02-29 16:13:32,0,0,"The VA’s delayed payments to home care services are seriously hurting Maine healthcare providers and the veterans who rely on them – that’s why I sent a letter to @SecWilkie, pushing the VA to streamline their systems and make sure Maine veterans can get the care they’ve earned. https://t.co/RdZDvedb7H"
RepJohnKatko,1137093447230382080,2019-06-07 20:26:18,0,0,I joined @UpstateNews on @BridgeStreetTV to discuss the ongoing opioid epidemic. CNY and communities around the country are experiencing a spike in fatalities related to synthetic opioids and heroin. Congress must crackdown on these lethal synthetic drugs. https://t.co/q14I15REjW
RepMcCaul,1280675555554275329,2020-07-08 1:30:20,0,0,RT @HouseForeignGOP: LR @RepMcCaul on @EveningEdit with @LizMacDonaldFOX: “ I believe we need a leader at the @WHO who cares more about glo…
SenatorBurr,839137754650984449,2017-03-07 15:36:45,0,0,#RepealAndReplace #Obamacare w/ solutions that make health insurance more affordable &amp; give families more control over their own health care
RepHaleyStevens,1310335428160098308,2020-09-27 21:48:05,0,0,"Supporting @LakesArea_CC today to raise awareness and advocate for a healthy, vibrant, drug-free Lakes Area. Let's work together to prevent youth substance use and addiction. #PedalForPrevention https://t.co/FIfGK5qxdt"
SenThomTillis,1242468090413113344,2020-03-24 15:07:31,0,0,"Today on #NationalAgDay and every day, we salute our farmers, who even in these challenging times, continue to provide our nation with a safe, healthy and abundant food supply. https://t.co/pGOteDySRY"
RepCarbajal,1245851288199475201,2020-04-02 23:11:08,0,0,"Filled out my #2020Census a few weeks ago! It was quick and simple.  Our census informs $ for hospitals, schools, roads and more. Everyone should fill out their census.  I nominate @RepHuffman, @AsmMoniqueLimon, @SenHannahBeth, @RepDonBacon &amp; @SenJackyRosen for #CensusChallenge! https://t.co/AwXwiqhNdu"
SenBooker,1241024071162302465,2020-03-20 15:29:30,0,0,Reminder to please take care of yourself and focus on your mental health during this difficult time. We’re all in this together. https://t.co/qb5lH4kMvx
KenCalvert,1242201004453457920,2020-03-23 21:26:13,0,0,"I’ve been in regular contact with RivCo health officials, community leaders &amp; small business owners. NONE have asked for:  ❌ Wind + solar tax credits ❌ Airline emission mandates ❌ Corporate board diversity mandates  The Speaker needs to focus on what our country NEEDS now."
RepBonamici,1270038813067358214,2020-06-08 17:03:43,0,0,"As Co-Chair of the House Oceans Caucus, I know the health of our ocean reflects the health of our planet. This #WorldOceansDay we must recommit to protecting one of our planet's greatest natural resources and capturing the power of our ocean to help mitigate the #ClimateCrisis."
RepAnnieKuster,1192189074192384000,2019-11-06 21:16:39,0,0,I was honored to meet Parker on his recent trip to Congress where we explored how we can work together to tackle everything from fighting heart disease to lowering health care costs. Inspired by his courage &amp; I look forward to our continued collaboration! https://t.co/M02kzcPiPa
RepMichaelGuest,1290740775676981248,2020-08-04 20:05:56,0,0,I am proud of @realDonaldTrump's commitment to the expansion of telehealth. Mississippi is a leader in telehealth and has continued to innovate during COVID-19.  https://t.co/6uaHe7zMoD
SenatorShaheen,1308412890530148352,2020-09-22 14:28:36,0,0,"Reports of abuse, including forced hysterectomies, at an ICE detention facility are abhorrent. The DHS IG needs to get to the bottom of this now – the health, safety &amp; rights of women are at stake. https://t.co/NYQDumi1Cf"
RepAndyLevin,1286387159486926853,2020-07-23 19:46:13,0,0,"JUST IN: @LtGovGilchrist will join our Census Town Hall!   There is a lot of misinformation about the Census. We need to be armed with the facts, and this is more important than ever as outreach adapts to a global pandemic.   See you 7/26 @ 4PM! https://t.co/sKWmY6OlTQ https://t.co/mbaQSACuEI"
JudgeCarter,1315073822517854209,2020-10-10 23:36:46,0,0,"Today is #WorldMentalHealthDay an opportunity to bring awareness to the importance of mental health.   Remember, taking care of your mental health is just as important as your physical health! https://t.co/zm6ZG6Ni2H"
DorisMatsui,1057470004252180480,2018-10-31 3:11:10,0,0,RT @SutterHealth: Thank you to @DorisMatsui @DrPanMD &amp; @Jeff4sac for celebrating the ribbon cutting of Sutter Care at Home’s new SeniorCare…
RepFletcher,1308116473886502912,2020-09-21 18:50:45,0,0,"Loved seeing @RepEscobar wearing her matching mask from @RepGonzalez.  The Texas Delegation is all in to celebrate #HispanicHeritage Month!  From El Paso to Houston and everywhere in between, let's all be sure to #MaskUp, Texas! https://t.co/oD9TdF4Gvt"
RepCummings,1146463841922011138,2019-07-03 17:00:54,0,0,I am pleased to announce $1.5 million in federal funds to Baltimore to assist with the critical work the city is doing to end the HIV epidemic.
RepCummings,1176943230526676994,2019-09-25 19:35:07,0,0,"Drug companies are reaping astronomical profits off of the backs of millions of American families, forcing people to make impossible choices, to sacrifice their health, and to jeopardize their lives."
TomColeOK04,1263255790166605824,2020-05-20 23:50:25,0,0,"While technology can keep us connected in ways unimaginable to our forebearers, that doesn't give the House free reign to substitute tradition for convenience or to abdicate responsibility for casting votes to another, even in a pandemic.   Read more ↓ https://t.co/2T3MtqVtcL"
RepBarbaraLee,1282321452788789250,2020-07-12 14:30:33,0,0,"Vote by mail is essential, especially during this pandemic. We need to do more to protect voters, poll workers, and ensure access to the ballot."
RepStephenLynch,1233081374250323968,2020-02-27 17:28:03,0,0,The United States has a collective duty to take care of our veterans after they serve our country and they deserve complete access to the necessary healthcare and treatment.  You can tune in to the hearing today at 12:30pm: https://t.co/VaQZ8SzhBo
maziehirono,1284188167810187264,2020-07-17 18:08:12,0,0,Undermining data and science isn’t new to @realDonaldTrump’s administration.  We condemned China for politicizing and falsifying coronavirus data. Why are we taking a page out of their playbook?  America can do better. https://t.co/OGGsjzsiZw
CongressmanHice,1297881088627544069,2020-08-24 12:58:59,0,0,".@HouseDemocrats are still peddling conspiracy theories about the Postmaster General to fit their bogus narrative.  This is all about taking down @realDonaldTrump, not helping @USPS.  Expect a lot of hysterics &amp; drama without much substance from Dems today in @GOPoversight."
RepRoybalAllard,1271892918996000770,2020-06-13 19:51:17,0,0,"This #LGBTQ+ #PrideMonth, let’s keep fighting the Trump Administration’s efforts to strip LGBTQ+ health care protections.  Let’s work to enact the #EqualityAct, ensure nondiscrimination provisions in COVID-19 response legislation, and more."
SenCortezMasto,1318629270361677825,2020-10-20 19:04:51,0,0,"The Medicare open enrollment period has begun! Open enrollment runs through December 7, but don’t wait—visit https://t.co/tvMz1DEdCA and review or make changes to your health care coverage ➡️ https://t.co/cLptgZ2VKX"
SenatorEnzi,1116440219346186248,2019-04-11 20:37:45,0,0,Association Health Plans are a great option for sparsely populated states like Wyoming. That’s one of the reasons I intro'd a bill today to cement a @USDOL rule allowing businesses to pool together for health care coverage. https://t.co/L0OhhIU7mm
RepMalinowski,1174717506176585730,2019-09-19 16:10:53,0,0,Proud to join @CongressmanRaja in this bipartisan and bicameral Caucus to to address the youth vaping epidemic #EndYouthVaping https://t.co/HqQMQwXBKN
SenSchumer,1320450736287817730,2020-10-25 19:42:42,0,0,"Don’t tell me the issues don’t matter, only qualifications.  We’re talking about American lives and freedoms.  The right to affordable health care.  To make your own private medical decisions.  To join a union.  To vote without impediments.  To love.  We will not stop fighting."
RepChipRoy,1219336391982833664,2020-01-20 19:10:24,0,0,Two San Antonio hospitals are national leaders in transplants from live donors https://t.co/SUgF56xe2N
SenatorCarper,1280916692336607232,2020-07-08 17:28:32,0,0,"Contraception is still health care – and today, #SCOTUS got it wrong by upholding the Trump Administration’s latest attempt to deny health care to women and families.  But we cannot relent. Let's continue our fight to protect a woman's right to make her own health care decisions. https://t.co/pKC9jQItYC"
SenKamalaHarris,1265738323169103872,2020-05-27 20:15:07,0,0,Esmeralda is one of thousands of health care workers who are wondering whether our government will deport them. It shouldn’t be this way.  No health care worker should fear losing their immigration status during this crisis. https://t.co/qtjCSYPHD9
SenBooker,1240718261144006656,2020-03-19 19:14:19,0,0,Our nation is stronger when more people’s voices are heard. Vote by mail is a common sense way to make it easier for people to participate in our democracy. It shouldn’t take a global pandemic for more states to adopt this policy. https://t.co/gdxQF8dttF
RepGregStanton,1307115019482664966,2020-09-19 0:31:20,0,0,"Shana Tovah! Wishing you and your loved ones good health, happiness, and renewal this #RoshHashanah. https://t.co/Q9tXZqs7bP"
RepAndyLevin,1280857624280543232,2020-07-08 13:33:49,0,0,HAPPENING SOON: I'll be going LIVE on Facebook at 10 AM with the presidents of @AFTunion and @CWAUnion to discuss organizing in the pandemic. Please tune in! https://t.co/MOjxDY7yZp
RepGonzalez,1126911631504621568,2019-05-10 18:07:24,0,0,"Hospitals aren't weapons caches. Civilians aren't targets. Doctors aren't terrorists. 3+million Syrians are at risk as Assad, Russia, &amp; Iran escalate aerial attacks on hospitals, schools, &amp; civilian areas. The U.S must step up and lead international efforts to stop the assault."
RonWyden,1297948904076451841,2020-08-24 17:28:28,0,0,"I’m sickened by police in Wisconsin shooting Jacob Blake in the back yesterday. For #BlackLivesMatter to become reality and to stop unjustified police shootings of Black people in our country, Congress must pass the Justice in Policing Act: https://t.co/Jofc3Ui6BP"
SenBlumenthal,1265382007254716424,2020-05-26 20:39:14,0,0,RIGHT NOW: I’m taking questions from constituents about the work Congress is doing to respond to #COVID19.  Listen in: https://t.co/h0P6iBy3uG https://t.co/pkFGNZMW2r
